,same class,different classes
17_261IP1_0021_matching_graph,364,45
19_181IP1_0021_matching_graph,364,45
21_332IP1_0021_matching_graph,364,45
23_354IP1_0021_matching_graph,364,45
25_361IP1_0021_matching_graph,364,45
27_536IP1_0021_matching_graph,364,45
29_609IP1_0021_matching_graph,364,45
31_490IP1_0021_matching_graph,364,45
33_625IP1_0021_matching_graph,364,45
35_737IP1_0021_matching_graph,364,45
37_768IP1_0021_matching_graph,364,45
39_778IP1_0021_matching_graph,364,45
40_653IP1_0021_matching_graph,364,45
41_809IP1_0021_matching_graph,364,45
42_860IP1_0021_matching_graph,364,45
43_882IP1_0021_matching_graph,364,45
44_754IP1_0021_matching_graph,364,45
45_798IP1_0021_matching_graph,364,45
46_827IP1_0021_matching_graph,364,45
47_913IP1_0021_matching_graph,364,45
48_966IP1_0021_matching_graph,364,45
49_762IP1_0021_matching_graph,364,45
50_794IP1_0021_matching_graph,364,45
51_848IP1_0021_matching_graph,364,45
52_900IP1_0021_matching_graph,364,45
53_917IP1_0021_matching_graph,364,45
0_88IP1_0025_matching_graph,383,45
10_889IP1_0025_matching_graph,383,45
1_45IP1_0025_matching_graph,383,45
2_117IP1_0025_matching_graph,383,45
3_406IP1_0025_matching_graph,383,45
4_597IP1_0025_matching_graph,383,45
5_544IP1_0025_matching_graph,383,45
6_884IP1_0025_matching_graph,383,45
7_882IP1_0025_matching_graph,383,45
8_913IP1_0025_matching_graph,383,45
9_962IP1_0025_matching_graph,383,45
54_279IP1_0031_matching_graph,338,44
56_492IP1_0031_matching_graph,338,44
58_706IP1_0031_matching_graph,338,44
60_778IP1_0031_matching_graph,338,44
62_738IP1_0031_matching_graph,338,44
64_697IP1_0031_matching_graph,338,44
66_827IP1_0031_matching_graph,338,44
68_955IP1_0031_matching_graph,338,44
70_982IP1_0031_matching_graph,338,44
72_1048IP1_0031_matching_graph,338,44
74_1114IP1_0031_matching_graph,338,44
76_1146IP1_0031_matching_graph,338,44
78_1206IP1_0031_matching_graph,338,44
55_112IP1_0037_matching_graph,392,44
57_662IP1_0037_matching_graph,392,44
59_589IP1_0037_matching_graph,392,44
61_634IP1_0037_matching_graph,392,44
63_863IP1_0037_matching_graph,392,44
65_855IP1_0037_matching_graph,392,44
67_772IP1_0037_matching_graph,392,44
69_967IP1_0037_matching_graph,392,44
71_846IP1_0037_matching_graph,392,44
73_1048IP1_0037_matching_graph,392,44
75_1161IP1_0037_matching_graph,392,44
77_1183IP1_0037_matching_graph,392,44
79_1221IP1_0037_matching_graph,392,44
11_210IP1_0040_matching_graph,398,44
12_745IP1_0040_matching_graph,398,44
13_680IP1_0040_matching_graph,398,44
14_728IP1_0040_matching_graph,398,44
15_677IP1_0040_matching_graph,398,44
16_919IP1_0040_matching_graph,398,44
18_846IP1_0040_matching_graph,398,44
20_794IP1_0040_matching_graph,398,44
22_907IP1_0040_matching_graph,398,44
24_962IP1_0040_matching_graph,398,44
26_1147IP1_0040_matching_graph,398,44
28_1049IP1_0040_matching_graph,398,44
30_1183IP1_0040_matching_graph,398,44
32_1118IP1_0040_matching_graph,398,44
34_1180IP1_0040_matching_graph,398,44
36_1223IP1_0040_matching_graph,398,44
38_1225IP1_0040_matching_graph,398,44
