,same class,different classes
10_67ZP1_0001_matching_graph,215,49
12_89ZP1_0001_matching_graph,215,49
14_78ZP1_0001_matching_graph,215,49
16_19ZP1_0001_matching_graph,215,49
18_43ZP1_0001_matching_graph,215,49
20_58ZP1_0001_matching_graph,215,49
22_101ZP1_0001_matching_graph,215,49
8_206ZP1_0001_matching_graph,215,49
31_108ZP1_0008_matching_graph,216,47
35_291ZP1_0008_matching_graph,216,47
37_311ZP1_0008_matching_graph,216,47
39_425ZP1_0008_matching_graph,216,47
41_464ZP1_0008_matching_graph,216,47
43_497ZP1_0008_matching_graph,216,47
45_320ZP1_0008_matching_graph,216,47
46_476ZP1_0008_matching_graph,216,47
47_394ZP1_0008_matching_graph,216,47
48_444ZP1_0008_matching_graph,216,47
49_374ZP1_0008_matching_graph,216,47
50_398ZP1_0008_matching_graph,216,47
27_311ZP1_0009_matching_graph,201,46
29_289ZP1_0009_matching_graph,201,46
33_311ZP1_0009_matching_graph,201,46
34_334ZP1_0009_matching_graph,201,46
36_367ZP1_0009_matching_graph,201,46
38_383ZP1_0009_matching_graph,201,46
40_420ZP1_0009_matching_graph,201,46
42_350ZP1_0009_matching_graph,201,46
44_571ZP1_0009_matching_graph,201,46
51_350ZP1_0010_matching_graph,227,49
53_489ZP1_0010_matching_graph,227,49
52_383ZP1_0012_matching_graph,392,19
54_388ZP1_0012_matching_graph,392,19
55_548ZP1_0012_matching_graph,392,19
56_551ZP1_0012_matching_graph,392,19
59_574ZP1_0012_matching_graph,392,19
62_672ZP1_0012_matching_graph,392,19
65_89ZP1_0013_matching_graph,215,48
67_349ZP1_0013_matching_graph,215,48
69_501ZP1_0013_matching_graph,215,48
71_525ZP1_0013_matching_graph,215,48
73_498ZP1_0013_matching_graph,215,48
75_619ZP1_0013_matching_graph,215,48
77_649ZP1_0013_matching_graph,215,48
79_720ZP1_0013_matching_graph,215,48
57_689ZP1_0014_matching_graph,239,32
60_594ZP1_0014_matching_graph,239,32
11_1031ZP1_0028_matching_graph,204,48
13_1107ZP1_0028_matching_graph,204,48
15_1129ZP1_0028_matching_graph,204,48
17_955ZP1_0028_matching_graph,204,48
19_981ZP1_0028_matching_graph,204,48
21_1051ZP1_0028_matching_graph,204,48
23_1076ZP1_0028_matching_graph,204,48
24_953ZP1_0028_matching_graph,204,48
2_68ZP1_0028_matching_graph,204,48
3_232ZP1_0028_matching_graph,204,48
4_285ZP1_0028_matching_graph,204,48
5_476ZP1_0028_matching_graph,204,48
6_563ZP1_0028_matching_graph,204,48
7_637ZP1_0028_matching_graph,204,48
9_648ZP1_0028_matching_graph,204,48
58_267ZP1_0030_matching_graph,430,19
61_325ZP1_0030_matching_graph,430,19
63_424ZP1_0030_matching_graph,430,19
64_685ZP1_0030_matching_graph,430,19
66_895ZP1_0030_matching_graph,430,19
68_957ZP1_0030_matching_graph,430,19
70_977ZP1_0030_matching_graph,430,19
74_1027ZP1_0030_matching_graph,430,19
76_1138ZP1_0030_matching_graph,430,19
78_1158ZP1_0030_matching_graph,430,19
0_692ZP1_0039_matching_graph,192,48
1_981ZP1_0039_matching_graph,192,48
28_916ZP1_0039_matching_graph,250,32
30_898ZP1_0039_matching_graph,250,32
32_1105ZP1_0039_matching_graph,250,32
72_1188ZP1_0039_matching_graph,289,49
25_203ZP1_0048_matching_graph,296,49
26_1206ZP1_0048_matching_graph,296,49
