,A,E,F,H,I,K,L,M,N,T,V,W,X,Y,Z
AP1_0000,75,10,11,0,0,12,0,5,0,0,0,21,0,12,0
AP1_0001,75,39,72,80,0,49,80,5,79,0,0,30,0,0,28
AP1_0002,78,39,68,80,80,63,80,1,80,0,51,76,10,12,12
AP1_0003,80,39,64,80,67,48,46,5,8,0,0,24,0,12,0
AP1_0004,80,39,36,80,0,27,48,5,13,0,0,27,0,0,0
AP1_0005,78,39,68,80,80,62,80,6,80,0,17,77,1,12,28
AP1_0006,11,10,24,0,50,39,12,42,5,0,43,1,64,8,59
AP1_0007,78,10,35,0,80,21,12,8,5,0,48,28,65,12,49
AP1_0008,80,0,38,0,13,3,0,9,0,0,0,26,65,0,43
AP1_0009,80,0,11,0,0,6,0,5,0,0,0,27,0,12,0
AP1_0010,67,29,44,0,50,41,53,0,68,0,12,3,1,0,0
AP1_0011,80,29,60,80,80,54,46,5,8,0,5,29,0,12,0
AP1_0012,66,16,41,80,80,20,44,0,4,0,48,21,0,12,0
AP1_0013,80,29,33,80,80,54,68,6,75,0,12,69,1,12,16
AP1_0014,80,33,23,0,0,23,31,5,5,0,0,27,0,12,0
AP1_0015,78,29,72,80,67,52,55,12,73,0,60,76,65,53,48
AP1_0016,69,39,44,80,0,51,70,5,0,0,0,40,0,12,0
AP1_0017,65,15,41,80,80,26,46,5,8,0,48,27,0,12,0
AP1_0018,80,39,48,80,80,80,80,12,80,0,12,80,1,38,16
AP1_0019,80,46,64,80,67,44,58,5,13,0,44,30,0,12,0
AP1_0020,80,0,41,80,80,34,0,28,0,0,48,27,12,12,31
AP1_0021,78,39,48,80,54,64,80,12,80,0,12,79,1,72,16
AP1_0022,80,39,48,56,0,61,50,11,27,0,0,42,0,65,18
AP1_0023,80,0,35,0,80,39,0,25,0,0,48,21,65,0,43
AP1_0024,53,10,60,80,30,37,46,0,75,0,5,18,0,0,19
AP1_0025,80,39,44,80,67,60,70,6,80,0,12,71,1,12,16
AP1_0026,64,39,52,80,80,26,46,5,4,0,5,27,0,12,0
AP1_0027,78,39,60,80,80,40,59,5,51,0,56,29,1,12,0
AP1_0028,78,10,41,0,80,34,12,8,5,0,48,27,65,12,49
AP1_0029,80,29,48,80,54,61,68,0,8,0,12,32,0,12,0
AP1_0030,78,39,60,68,39,75,48,5,8,0,39,27,0,12,24
AP1_0031,80,29,64,80,80,80,46,5,8,0,44,29,0,12,0
