,same class,different classes
60_266AP1_0000_matching_graph,232,49
63_44AP1_0000_matching_graph,232,49
67_183AP1_0000_matching_graph,232,49
69_66AP1_0000_matching_graph,232,49
72_74AP1_0000_matching_graph,232,49
75_204AP1_0000_matching_graph,232,49
77_207AP1_0000_matching_graph,232,49
79_212AP1_0000_matching_graph,232,49
0_284AP1_0011_matching_graph,381,47
1_210AP1_0011_matching_graph,381,47
2_345AP1_0011_matching_graph,381,47
3_393AP1_0011_matching_graph,381,47
4_379AP1_0011_matching_graph,381,47
5_483AP1_0011_matching_graph,381,47
6_462AP1_0011_matching_graph,381,47
52_45AP1_0012_matching_graph,304,46
54_174AP1_0012_matching_graph,304,46
56_415AP1_0012_matching_graph,304,46
59_526AP1_0012_matching_graph,304,46
62_708AP1_0012_matching_graph,304,46
66_455AP1_0012_matching_graph,304,46
68_594AP1_0012_matching_graph,304,46
71_638AP1_0012_matching_graph,304,46
22_515AP1_0015_matching_graph,460,47
23_541AP1_0015_matching_graph,460,47
24_612AP1_0015_matching_graph,460,47
25_689AP1_0015_matching_graph,460,47
43_107AP1_0024_matching_graph,143,26
45_374AP1_0024_matching_graph,143,26
47_432AP1_0024_matching_graph,143,26
49_661AP1_0024_matching_graph,143,26
53_717AP1_0024_matching_graph,143,26
55_515AP1_0024_matching_graph,143,26
57_734AP1_0024_matching_graph,143,26
61_926AP1_0024_matching_graph,143,26
65_785AP1_0024_matching_graph,143,26
70_816AP1_0024_matching_graph,143,26
74_846AP1_0024_matching_graph,143,26
76_931AP1_0024_matching_graph,143,26
78_961AP1_0024_matching_graph,143,26
26_31AP1_0027_matching_graph,144,46
27_989AP1_0027_matching_graph,144,46
28_1019AP1_0027_matching_graph,144,46
29_1073AP1_0027_matching_graph,144,46
30_1001AP1_0027_matching_graph,144,46
7_880AP1_0027_matching_graph,324,48
51_952AP1_0028_matching_graph,325,46
36_980AP1_0030_matching_graph,318,48
15_55AP1_0031_matching_graph,352,46
16_133AP1_0031_matching_graph,352,46
17_161AP1_0031_matching_graph,352,46
18_441AP1_0031_matching_graph,352,46
19_794AP1_0031_matching_graph,352,46
20_1123AP1_0031_matching_graph,352,46
21_1063AP1_0031_matching_graph,352,46
32_219AP1_0032_matching_graph,219,47
34_683AP1_0032_matching_graph,219,47
37_79AP1_0036_matching_graph,240,48
38_202AP1_0036_matching_graph,240,48
39_143AP1_0036_matching_graph,240,48
40_38AP1_0036_matching_graph,240,48
41_120AP1_0036_matching_graph,240,48
42_99AP1_0036_matching_graph,240,48
44_948AP1_0036_matching_graph,240,48
46_1043AP1_0036_matching_graph,240,48
48_1076AP1_0036_matching_graph,240,48
50_1102AP1_0036_matching_graph,240,48
31_686AP1_0039_matching_graph,427,44
33_849AP1_0039_matching_graph,427,44
35_1207AP1_0039_matching_graph,427,44
58_248AP1_0041_matching_graph,379,43
64_617AP1_0041_matching_graph,379,43
73_689AP1_0041_matching_graph,379,43
10_799AP1_0045_matching_graph,214,49
11_868AP1_0045_matching_graph,214,49
12_1071AP1_0045_matching_graph,214,49
13_1222AP1_0045_matching_graph,214,49
14_1204AP1_0045_matching_graph,214,49
8_398AP1_0045_matching_graph,214,49
9_687AP1_0045_matching_graph,214,49
