,same class,different classes
35_221KP1_0000_matching_graph,488,48
33_40KP1_0005_matching_graph,475,48
34_138KP1_0005_matching_graph,475,48
10_205KP1_0006_matching_graph,212,48
12_305KP1_0006_matching_graph,212,48
14_370KP1_0006_matching_graph,212,48
16_316KP1_0006_matching_graph,212,48
18_376KP1_0006_matching_graph,212,48
2_220KP1_0006_matching_graph,198,47
3_377KP1_0006_matching_graph,198,47
62_154KP1_0006_matching_graph,82,47
63_255KP1_0006_matching_graph,82,47
65_114KP1_0006_matching_graph,82,47
67_148KP1_0006_matching_graph,82,47
69_178KP1_0006_matching_graph,82,47
71_212KP1_0006_matching_graph,82,47
75_245KP1_0006_matching_graph,82,47
77_264KP1_0006_matching_graph,82,47
79_283KP1_0006_matching_graph,82,47
44_349KP1_0009_matching_graph,175,47
45_377KP1_0009_matching_graph,175,47
60_68KP1_0010_matching_graph,67,46
61_306KP1_0010_matching_graph,67,46
19_397KP1_0012_matching_graph,226,42
20_702KP1_0012_matching_graph,226,42
21_498KP1_0012_matching_graph,226,42
22_485KP1_0012_matching_graph,226,42
23_550KP1_0012_matching_graph,226,42
24_633KP1_0012_matching_graph,226,42
25_662KP1_0012_matching_graph,226,42
59_759KP1_0013_matching_graph,390,19
36_527KP1_0015_matching_graph,219,46
37_593KP1_0015_matching_graph,219,46
70_143KP1_0016_matching_graph,509,48
72_790KP1_0016_matching_graph,509,48
74_542KP1_0016_matching_graph,509,48
53_701KP1_0020_matching_graph,400,20
4_375KP1_0021_matching_graph,179,46
5_607KP1_0021_matching_graph,179,46
6_870KP1_0021_matching_graph,179,46
7_801KP1_0021_matching_graph,179,46
48_296KP1_0027_matching_graph,189,48
49_819KP1_0027_matching_graph,189,48
50_1058KP1_0027_matching_graph,189,48
51_1118KP1_0027_matching_graph,189,48
1_445KP1_0028_matching_graph,171,47
42_315KP1_0028_matching_graph,506,48
43_864KP1_0028_matching_graph,506,48
52_184KP1_0028_matching_graph,483,48
11_805KP1_0034_matching_graph,169,48
13_1136KP1_0034_matching_graph,169,48
15_917KP1_0034_matching_graph,169,48
17_1022KP1_0034_matching_graph,169,48
8_166KP1_0034_matching_graph,169,48
9_405KP1_0034_matching_graph,169,48
46_1168KP1_0035_matching_graph,487,48
47_1179KP1_0035_matching_graph,487,48
55_66KP1_0036_matching_graph,255,49
56_512KP1_0036_matching_graph,255,49
57_796KP1_0036_matching_graph,255,49
58_867KP1_0036_matching_graph,255,49
26_208KP1_0037_matching_graph,154,43
27_1138KP1_0037_matching_graph,154,43
28_1084KP1_0037_matching_graph,154,43
29_1167KP1_0037_matching_graph,154,43
30_1130KP1_0037_matching_graph,154,43
31_550KP1_0044_matching_graph,206,46
32_1066KP1_0044_matching_graph,206,46
54_406KP1_0044_matching_graph,200,47
64_53KP1_0047_matching_graph,155,42
66_236KP1_0047_matching_graph,155,42
68_633KP1_0047_matching_graph,155,42
73_752KP1_0047_matching_graph,155,42
76_825KP1_0047_matching_graph,155,42
78_861KP1_0047_matching_graph,155,42
38_76KP1_0048_matching_graph,160,23
39_99KP1_0048_matching_graph,160,23
40_867KP1_0048_matching_graph,160,23
41_889KP1_0048_matching_graph,160,23
0_1164KP1_0049_matching_graph,172,47
