,same class,different classes
24_36EP1_0002_matching_graph,0,2
25_168EP1_0002_matching_graph,0,2
26_217EP1_0002_matching_graph,0,2
27_239EP1_0002_matching_graph,0,2
28_260EP1_0002_matching_graph,0,2
29_208EP1_0002_matching_graph,0,2
30_267EP1_0002_matching_graph,0,2
31_286EP1_0002_matching_graph,0,2
32_95EP1_0002_matching_graph,0,2
33_267EP1_0002_matching_graph,0,2
34_290EP1_0002_matching_graph,0,2
35_35EP1_0002_matching_graph,0,2
37_82EP1_0002_matching_graph,0,2
39_163EP1_0002_matching_graph,0,2
42_188EP1_0002_matching_graph,0,2
45_221EP1_0002_matching_graph,0,2
48_243EP1_0002_matching_graph,0,2
51_40EP1_0002_matching_graph,0,2
38_85EP1_0007_matching_graph,0,2
41_237EP1_0007_matching_graph,0,2
44_248EP1_0007_matching_graph,0,2
46_228EP1_0007_matching_graph,0,2
49_258EP1_0007_matching_graph,0,2
52_319EP1_0007_matching_graph,0,2
54_333EP1_0007_matching_graph,0,2
56_349EP1_0007_matching_graph,0,2
58_363EP1_0007_matching_graph,0,2
60_275EP1_0007_matching_graph,0,2
62_293EP1_0007_matching_graph,0,2
64_309EP1_0007_matching_graph,0,2
66_319EP1_0007_matching_graph,0,2
68_366EP1_0007_matching_graph,0,2
70_385EP1_0007_matching_graph,0,2
72_396EP1_0007_matching_graph,0,2
74_337EP1_0007_matching_graph,0,2
76_353EP1_0007_matching_graph,0,2
79_373EP1_0007_matching_graph,0,2
36_53EP1_0014_matching_graph,0,4
40_181EP1_0014_matching_graph,0,4
43_261EP1_0014_matching_graph,0,4
47_42EP1_0014_matching_graph,0,4
50_69EP1_0014_matching_graph,0,4
53_86EP1_0014_matching_graph,0,4
55_114EP1_0014_matching_graph,0,4
57_350EP1_0014_matching_graph,0,4
59_435EP1_0014_matching_graph,0,4
61_383EP1_0014_matching_graph,0,4
63_575EP1_0014_matching_graph,0,4
65_583EP1_0014_matching_graph,0,4
67_660EP1_0014_matching_graph,0,4
69_506EP1_0014_matching_graph,0,4
71_522EP1_0014_matching_graph,0,4
73_556EP1_0014_matching_graph,0,4
75_585EP1_0014_matching_graph,0,4
77_611EP1_0014_matching_graph,0,4
0_66EP1_0015_matching_graph,0,7
10_556EP1_0015_matching_graph,0,7
11_656EP1_0015_matching_graph,0,7
12_531EP1_0015_matching_graph,0,7
13_541EP1_0015_matching_graph,0,7
14_571EP1_0015_matching_graph,0,7
15_592EP1_0015_matching_graph,0,7
16_612EP1_0015_matching_graph,0,7
17_635EP1_0015_matching_graph,0,7
18_724EP1_0015_matching_graph,0,7
19_743EP1_0015_matching_graph,0,7
1_99EP1_0015_matching_graph,0,7
20_550EP1_0015_matching_graph,0,7
21_605EP1_0015_matching_graph,0,7
22_626EP1_0015_matching_graph,0,7
23_464EP1_0015_matching_graph,8,12
2_116EP1_0015_matching_graph,0,7
3_401EP1_0015_matching_graph,0,7
4_603EP1_0015_matching_graph,0,7
5_608EP1_0015_matching_graph,0,7
6_688EP1_0015_matching_graph,0,7
7_506EP1_0015_matching_graph,0,7
8_747EP1_0015_matching_graph,0,7
9_770EP1_0015_matching_graph,0,7
78_145EP1_0017_matching_graph,0,9
