,same class,different classes
0_127NP1_0033_matching_graph,1,22
10_473NP1_0033_matching_graph,1,22
11_558NP1_0033_matching_graph,1,22
12_550NP1_0033_matching_graph,1,22
13_636NP1_0033_matching_graph,1,22
14_681NP1_0033_matching_graph,1,22
15_735NP1_0033_matching_graph,1,22
16_767NP1_0033_matching_graph,1,22
17_763NP1_0033_matching_graph,1,22
18_797NP1_0033_matching_graph,1,22
19_751NP1_0033_matching_graph,1,22
1_36NP1_0033_matching_graph,1,22
20_821NP1_0033_matching_graph,1,22
21_825NP1_0033_matching_graph,1,22
22_1017NP1_0033_matching_graph,1,22
23_889NP1_0033_matching_graph,1,22
24_971NP1_0033_matching_graph,1,22
25_1054NP1_0033_matching_graph,1,22
26_1104NP1_0033_matching_graph,1,22
27_1136NP1_0033_matching_graph,1,22
28_1086NP1_0033_matching_graph,1,22
29_1054NP1_0033_matching_graph,1,22
2_151NP1_0033_matching_graph,1,22
30_989NP1_0033_matching_graph,1,22
31_1163NP1_0033_matching_graph,1,22
32_1089NP1_0033_matching_graph,1,22
33_959NP1_0033_matching_graph,1,22
34_975NP1_0033_matching_graph,1,22
35_988NP1_0033_matching_graph,1,22
36_1009NP1_0033_matching_graph,1,22
37_1037NP1_0033_matching_graph,1,22
38_1059NP1_0033_matching_graph,1,22
39_1083NP1_0033_matching_graph,1,22
3_197NP1_0033_matching_graph,1,22
40_1103NP1_0033_matching_graph,1,22
41_1130NP1_0033_matching_graph,1,22
42_1153NP1_0033_matching_graph,1,22
43_1171NP1_0033_matching_graph,1,22
44_974NP1_0033_matching_graph,1,22
45_991NP1_0033_matching_graph,1,22
46_1004NP1_0033_matching_graph,1,22
47_1026NP1_0033_matching_graph,1,22
48_1052NP1_0033_matching_graph,1,22
4_447NP1_0033_matching_graph,1,22
5_404NP1_0033_matching_graph,1,22
6_385NP1_0033_matching_graph,1,22
7_349NP1_0033_matching_graph,1,22
8_260NP1_0033_matching_graph,1,22
9_530NP1_0033_matching_graph,1,22
61_39NP1_0038_matching_graph,1,12
63_79NP1_0038_matching_graph,1,12
65_145NP1_0038_matching_graph,1,12
67_271NP1_0038_matching_graph,1,12
69_307NP1_0038_matching_graph,1,12
71_290NP1_0038_matching_graph,1,12
73_217NP1_0038_matching_graph,1,12
75_389NP1_0038_matching_graph,1,12
77_441NP1_0038_matching_graph,1,12
79_556NP1_0038_matching_graph,1,12
49_113NP1_0043_matching_graph,1,21
50_155NP1_0043_matching_graph,1,21
51_261NP1_0043_matching_graph,1,21
52_404NP1_0043_matching_graph,1,21
53_454NP1_0043_matching_graph,1,21
54_449NP1_0043_matching_graph,1,21
55_344NP1_0043_matching_graph,1,21
56_529NP1_0043_matching_graph,1,21
57_465NP1_0043_matching_graph,1,21
58_617NP1_0043_matching_graph,1,21
59_636NP1_0043_matching_graph,1,21
60_672NP1_0043_matching_graph,1,21
62_777NP1_0043_matching_graph,1,21
64_759NP1_0043_matching_graph,1,21
66_785NP1_0043_matching_graph,1,21
68_765NP1_0043_matching_graph,1,21
70_843NP1_0043_matching_graph,1,21
72_809NP1_0043_matching_graph,1,21
74_884NP1_0043_matching_graph,1,21
76_969NP1_0043_matching_graph,1,21
78_1047NP1_0043_matching_graph,1,21
