,same class,different classes
49_12LP1_0012_matching_graph,62,37
51_78LP1_0012_matching_graph,62,37
53_162LP1_0012_matching_graph,62,37
55_327LP1_0012_matching_graph,62,37
57_356LP1_0012_matching_graph,62,37
59_388LP1_0012_matching_graph,62,37
61_341LP1_0012_matching_graph,62,37
63_379LP1_0012_matching_graph,62,37
65_462LP1_0012_matching_graph,62,37
67_427LP1_0012_matching_graph,62,37
69_569LP1_0012_matching_graph,62,37
71_582LP1_0012_matching_graph,62,37
73_603LP1_0012_matching_graph,62,37
75_470LP1_0012_matching_graph,62,37
77_504LP1_0012_matching_graph,62,37
79_541LP1_0012_matching_graph,62,37
39_178LP1_0020_matching_graph,66,36
40_24LP1_0020_matching_graph,66,36
41_104LP1_0020_matching_graph,66,36
42_244LP1_0020_matching_graph,66,36
43_338LP1_0020_matching_graph,66,36
44_294LP1_0020_matching_graph,66,36
45_355LP1_0020_matching_graph,66,36
46_315LP1_0020_matching_graph,66,36
47_484LP1_0020_matching_graph,66,36
48_437LP1_0020_matching_graph,66,36
50_571LP1_0020_matching_graph,66,36
52_567LP1_0020_matching_graph,66,36
54_726LP1_0020_matching_graph,66,36
56_747LP1_0020_matching_graph,66,36
58_724LP1_0020_matching_graph,66,36
60_692LP1_0020_matching_graph,66,36
62_859LP1_0020_matching_graph,66,36
64_717LP1_0020_matching_graph,66,36
66_742LP1_0020_matching_graph,66,36
68_766LP1_0020_matching_graph,66,36
70_789LP1_0020_matching_graph,66,36
72_809LP1_0020_matching_graph,66,36
74_833LP1_0020_matching_graph,66,36
76_857LP1_0020_matching_graph,66,36
78_878LP1_0020_matching_graph,66,36
0_9LP1_0045_matching_graph,64,36
10_448LP1_0045_matching_graph,64,36
11_784LP1_0045_matching_graph,64,36
12_797LP1_0045_matching_graph,64,36
13_813LP1_0045_matching_graph,64,36
14_803LP1_0045_matching_graph,64,36
15_763LP1_0045_matching_graph,64,36
16_875LP1_0045_matching_graph,64,36
17_881LP1_0045_matching_graph,64,36
18_1094LP1_0045_matching_graph,64,36
19_1119LP1_0045_matching_graph,64,36
1_93LP1_0045_matching_graph,64,36
20_1141LP1_0045_matching_graph,64,36
21_1162LP1_0045_matching_graph,64,36
22_1116LP1_0045_matching_graph,64,36
23_1067LP1_0045_matching_graph,64,36
24_969LP1_0045_matching_graph,64,36
25_1135LP1_0045_matching_graph,64,36
26_981LP1_0045_matching_graph,64,36
27_1069LP1_0045_matching_graph,64,36
28_1172LP1_0045_matching_graph,64,36
29_1211LP1_0045_matching_graph,64,36
2_267LP1_0045_matching_graph,64,36
30_1220LP1_0045_matching_graph,64,36
31_1219LP1_0045_matching_graph,64,36
32_1217LP1_0045_matching_graph,64,36
33_1170LP1_0045_matching_graph,64,36
34_1100LP1_0045_matching_graph,64,36
35_1112LP1_0045_matching_graph,64,36
36_1206LP1_0045_matching_graph,64,36
37_1214LP1_0045_matching_graph,64,36
38_1220LP1_0045_matching_graph,64,36
3_245LP1_0045_matching_graph,64,36
4_367LP1_0045_matching_graph,64,36
5_423LP1_0045_matching_graph,64,36
6_334LP1_0045_matching_graph,64,36
7_428LP1_0045_matching_graph,64,36
8_397LP1_0045_matching_graph,64,36
9_518LP1_0045_matching_graph,64,36
