,same class,different classes
61_211MP1_0019_matching_graph,0,11
63_309MP1_0019_matching_graph,0,11
65_668MP1_0019_matching_graph,0,11
67_681MP1_0019_matching_graph,0,11
69_781MP1_0019_matching_graph,0,11
71_835MP1_0019_matching_graph,0,11
0_143MP1_0031_matching_graph,1,19
10_920MP1_0031_matching_graph,1,19
11_969MP1_0031_matching_graph,1,19
12_1052MP1_0031_matching_graph,1,19
13_1062MP1_0031_matching_graph,1,19
14_993MP1_0031_matching_graph,1,19
15_1172MP1_0031_matching_graph,1,19
16_973MP1_0031_matching_graph,1,19
17_1039MP1_0031_matching_graph,1,19
18_1059MP1_0031_matching_graph,1,19
19_1077MP1_0031_matching_graph,1,19
1_241MP1_0031_matching_graph,1,19
20_1101MP1_0031_matching_graph,1,19
21_1132MP1_0031_matching_graph,1,19
22_1156MP1_0031_matching_graph,1,19
23_1176MP1_0031_matching_graph,1,19
24_1191MP1_0031_matching_graph,1,19
25_1204MP1_0031_matching_graph,1,19
26_989MP1_0031_matching_graph,1,19
2_254MP1_0031_matching_graph,1,19
3_346MP1_0031_matching_graph,1,19
4_331MP1_0031_matching_graph,1,19
5_478MP1_0031_matching_graph,1,19
6_549MP1_0031_matching_graph,1,19
7_713MP1_0031_matching_graph,1,19
8_762MP1_0031_matching_graph,1,19
9_759MP1_0031_matching_graph,1,19
27_79MP1_0040_matching_graph,0,5
28_209MP1_0040_matching_graph,0,5
29_122MP1_0040_matching_graph,0,5
30_186MP1_0040_matching_graph,0,5
31_226MP1_0040_matching_graph,0,5
32_254MP1_0040_matching_graph,0,5
33_259MP1_0040_matching_graph,0,5
34_289MP1_0040_matching_graph,0,5
35_457MP1_0040_matching_graph,0,5
36_460MP1_0040_matching_graph,0,5
37_438MP1_0040_matching_graph,0,5
38_490MP1_0040_matching_graph,0,5
39_680MP1_0040_matching_graph,0,5
40_618MP1_0040_matching_graph,0,5
41_680MP1_0040_matching_graph,0,5
42_694MP1_0040_matching_graph,0,5
43_666MP1_0040_matching_graph,0,5
44_664MP1_0040_matching_graph,0,5
45_912MP1_0040_matching_graph,0,5
46_868MP1_0040_matching_graph,0,5
47_786MP1_0040_matching_graph,0,5
48_894MP1_0040_matching_graph,0,5
49_1046MP1_0040_matching_graph,0,5
50_842MP1_0040_matching_graph,0,5
51_906MP1_0040_matching_graph,0,5
52_971MP1_0040_matching_graph,0,5
53_1027MP1_0040_matching_graph,0,5
54_974MP1_0040_matching_graph,0,5
55_992MP1_0040_matching_graph,0,5
56_1184MP1_0040_matching_graph,0,5
57_1132MP1_0040_matching_graph,0,5
58_980MP1_0040_matching_graph,0,5
59_1079MP1_0040_matching_graph,0,5
60_1200MP1_0040_matching_graph,0,5
62_1083MP1_0040_matching_graph,0,5
64_1128MP1_0040_matching_graph,0,5
66_1176MP1_0040_matching_graph,0,5
68_1146MP1_0040_matching_graph,0,5
70_1173MP1_0040_matching_graph,0,5
72_1162MP1_0040_matching_graph,0,5
73_1180MP1_0040_matching_graph,0,5
74_1191MP1_0040_matching_graph,0,5
75_1200MP1_0040_matching_graph,0,5
76_1209MP1_0040_matching_graph,0,5
77_1214MP1_0040_matching_graph,0,5
78_1219MP1_0040_matching_graph,0,5
79_1223MP1_0040_matching_graph,0,5
