,same class,different classes
25_11XP1_0000_matching_graph,39,14
26_35XP1_0000_matching_graph,39,14
27_79XP1_0000_matching_graph,39,14
28_169XP1_0000_matching_graph,39,14
29_306XP1_0000_matching_graph,39,14
30_61XP1_0000_matching_graph,39,14
31_119XP1_0000_matching_graph,39,14
32_206XP1_0000_matching_graph,39,14
33_237XP1_0000_matching_graph,39,14
34_75XP1_0000_matching_graph,39,14
35_226XP1_0000_matching_graph,39,14
36_86XP1_0000_matching_graph,39,14
37_114XP1_0000_matching_graph,39,14
38_144XP1_0000_matching_graph,39,14
39_175XP1_0000_matching_graph,39,14
40_212XP1_0000_matching_graph,39,14
41_288XP1_0000_matching_graph,39,14
0_51XP1_0008_matching_graph,51,49
10_308XP1_0008_matching_graph,27,17
11_331XP1_0008_matching_graph,27,17
12_356XP1_0008_matching_graph,27,17
13_487XP1_0008_matching_graph,27,17
14_292XP1_0008_matching_graph,27,17
15_314XP1_0008_matching_graph,27,17
16_440XP1_0008_matching_graph,27,17
17_341XP1_0008_matching_graph,27,17
18_437XP1_0008_matching_graph,27,17
19_458XP1_0008_matching_graph,27,17
1_512XP1_0008_matching_graph,51,49
20_488XP1_0008_matching_graph,27,17
21_514XP1_0008_matching_graph,27,17
22_536XP1_0008_matching_graph,27,17
23_329XP1_0008_matching_graph,27,17
24_377XP1_0008_matching_graph,27,17
2_481XP1_0008_matching_graph,51,49
3_512XP1_0008_matching_graph,51,49
4_329XP1_0008_matching_graph,51,49
5_397XP1_0008_matching_graph,51,49
6_15XP1_0008_matching_graph,27,17
7_218XP1_0008_matching_graph,27,17
8_319XP1_0008_matching_graph,27,17
9_315XP1_0008_matching_graph,27,17
63_16XP1_0030_matching_graph,30,11
64_108XP1_0030_matching_graph,30,11
65_202XP1_0030_matching_graph,30,11
66_282XP1_0030_matching_graph,30,11
67_473XP1_0030_matching_graph,30,11
68_442XP1_0030_matching_graph,30,11
69_551XP1_0030_matching_graph,30,11
70_553XP1_0030_matching_graph,30,11
71_601XP1_0030_matching_graph,30,11
72_715XP1_0030_matching_graph,30,11
73_736XP1_0030_matching_graph,30,11
74_703XP1_0030_matching_graph,30,11
75_795XP1_0030_matching_graph,30,11
76_1036XP1_0030_matching_graph,30,11
77_1038XP1_0030_matching_graph,30,11
78_978XP1_0030_matching_graph,30,11
79_1021XP1_0030_matching_graph,30,11
42_70XP1_0046_matching_graph,36,13
43_239XP1_0046_matching_graph,36,13
44_148XP1_0046_matching_graph,36,13
45_391XP1_0046_matching_graph,36,13
46_398XP1_0046_matching_graph,36,13
47_540XP1_0046_matching_graph,36,13
48_443XP1_0046_matching_graph,36,13
49_592XP1_0046_matching_graph,36,13
50_692XP1_0046_matching_graph,36,13
51_645XP1_0046_matching_graph,36,13
52_845XP1_0046_matching_graph,36,13
53_804XP1_0046_matching_graph,36,13
54_748XP1_0046_matching_graph,36,13
55_1119XP1_0046_matching_graph,36,13
56_1007XP1_0046_matching_graph,36,13
57_1156XP1_0046_matching_graph,36,13
58_1163XP1_0046_matching_graph,36,13
59_1217XP1_0046_matching_graph,36,13
60_1223XP1_0046_matching_graph,36,13
61_1194XP1_0046_matching_graph,36,13
62_1215XP1_0046_matching_graph,36,13
