,same class,different classes
0_130YP1_0019_matching_graph,12,10
10_705YP1_0019_matching_graph,12,10
11_727YP1_0019_matching_graph,12,10
12_751YP1_0019_matching_graph,12,10
13_775YP1_0019_matching_graph,12,10
14_796YP1_0019_matching_graph,12,10
15_820YP1_0019_matching_graph,12,10
16_846YP1_0019_matching_graph,12,10
17_870YP1_0019_matching_graph,12,10
18_661YP1_0019_matching_graph,12,10
19_675YP1_0019_matching_graph,12,10
1_248YP1_0019_matching_graph,12,10
20_707YP1_0019_matching_graph,12,10
21_847YP1_0019_matching_graph,12,10
22_870YP1_0019_matching_graph,12,10
23_727YP1_0019_matching_graph,12,10
24_794YP1_0019_matching_graph,12,10
25_827YP1_0019_matching_graph,12,10
2_312YP1_0019_matching_graph,12,10
3_590YP1_0019_matching_graph,12,10
4_459YP1_0019_matching_graph,12,10
5_537YP1_0019_matching_graph,12,10
6_630YP1_0019_matching_graph,12,10
7_716YP1_0019_matching_graph,12,10
8_712YP1_0019_matching_graph,12,10
9_674YP1_0019_matching_graph,12,10
56_173YP1_0021_matching_graph,11,9
57_291YP1_0021_matching_graph,11,9
58_363YP1_0021_matching_graph,11,9
59_631YP1_0021_matching_graph,11,9
60_498YP1_0021_matching_graph,11,9
61_573YP1_0021_matching_graph,11,9
62_675YP1_0021_matching_graph,11,9
63_761YP1_0021_matching_graph,11,9
64_760YP1_0021_matching_graph,11,9
65_855YP1_0021_matching_graph,11,9
66_859YP1_0021_matching_graph,11,9
67_878YP1_0021_matching_graph,11,9
68_890YP1_0021_matching_graph,11,9
69_903YP1_0021_matching_graph,11,9
70_910YP1_0021_matching_graph,11,9
71_926YP1_0021_matching_graph,11,9
72_738YP1_0021_matching_graph,11,9
73_765YP1_0021_matching_graph,11,9
74_787YP1_0021_matching_graph,11,9
75_808YP1_0021_matching_graph,11,9
77_852YP1_0021_matching_graph,11,9
79_874YP1_0021_matching_graph,11,9
76_48YP1_0028_matching_graph,5,15
78_161YP1_0028_matching_graph,5,15
26_12YP1_0045_matching_graph,19,33
27_138YP1_0045_matching_graph,19,33
28_223YP1_0045_matching_graph,19,33
29_399YP1_0045_matching_graph,19,33
30_370YP1_0045_matching_graph,19,33
31_476YP1_0045_matching_graph,19,33
32_362YP1_0045_matching_graph,19,33
33_366YP1_0045_matching_graph,19,33
34_533YP1_0045_matching_graph,19,33
35_452YP1_0045_matching_graph,19,33
36_559YP1_0045_matching_graph,19,33
37_783YP1_0045_matching_graph,19,33
38_778YP1_0045_matching_graph,19,33
39_740YP1_0045_matching_graph,19,33
40_898YP1_0045_matching_graph,19,33
41_909YP1_0045_matching_graph,19,33
42_963YP1_0045_matching_graph,19,33
43_974YP1_0045_matching_graph,19,33
44_1001YP1_0045_matching_graph,19,33
45_1110YP1_0045_matching_graph,19,33
46_1028YP1_0045_matching_graph,19,33
47_1048YP1_0045_matching_graph,19,33
48_1152YP1_0045_matching_graph,19,33
49_1176YP1_0045_matching_graph,19,33
50_1221YP1_0045_matching_graph,19,33
51_1092YP1_0045_matching_graph,19,33
52_1190YP1_0045_matching_graph,19,33
53_1186YP1_0045_matching_graph,19,33
54_1199YP1_0045_matching_graph,19,33
55_1207YP1_0045_matching_graph,19,33
