,same class,different classes
62_FP1_0026_FP1_0000_matching_graph,3,5
63_FP1_0026_FP1_0001_matching_graph,3,5
64_FP1_0026_FP1_0002_matching_graph,3,5
29_FP1_0033_FP1_0003_matching_graph,7,17
65_FP1_0026_FP1_0003_matching_graph,3,5
30_FP1_0033_FP1_0004_matching_graph,7,17
66_FP1_0026_FP1_0004_matching_graph,3,5
8_FP1_0047_FP1_0004_matching_graph,44,35
67_FP1_0026_FP1_0005_matching_graph,3,5
68_FP1_0026_FP1_0006_matching_graph,3,5
31_FP1_0033_FP1_0007_matching_graph,7,17
69_FP1_0026_FP1_0007_matching_graph,3,5
9_FP1_0047_FP1_0007_matching_graph,44,35
70_FP1_0026_FP1_0008_matching_graph,3,5
71_FP1_0026_FP1_0009_matching_graph,3,5
0_FP1_0008_FP1_0010_matching_graph,39,35
10_FP1_0047_FP1_0010_matching_graph,44,35
32_FP1_0033_FP1_0010_matching_graph,7,17
72_FP1_0026_FP1_0010_matching_graph,3,5
1_FP1_0008_FP1_0011_matching_graph,39,35
33_FP1_0033_FP1_0011_matching_graph,7,17
73_FP1_0026_FP1_0011_matching_graph,3,5
11_FP1_0047_FP1_0012_matching_graph,44,35
34_FP1_0033_FP1_0012_matching_graph,7,17
74_FP1_0026_FP1_0012_matching_graph,3,5
2_FP1_0008_FP1_0013_matching_graph,39,35
35_FP1_0033_FP1_0013_matching_graph,7,17
75_FP1_0026_FP1_0013_matching_graph,3,5
12_FP1_0047_FP1_0014_matching_graph,44,35
36_FP1_0033_FP1_0014_matching_graph,7,17
3_FP1_0008_FP1_0014_matching_graph,39,35
76_FP1_0026_FP1_0014_matching_graph,3,5
77_FP1_0026_FP1_0015_matching_graph,3,5
13_FP1_0047_FP1_0016_matching_graph,44,35
37_FP1_0033_FP1_0016_matching_graph,7,17
78_FP1_0026_FP1_0016_matching_graph,3,5
38_FP1_0033_FP1_0017_matching_graph,7,17
79_FP1_0026_FP1_0017_matching_graph,3,5
14_FP1_0047_FP1_0019_matching_graph,44,35
39_FP1_0033_FP1_0019_matching_graph,7,17
15_FP1_0047_FP1_0020_matching_graph,44,35
40_FP1_0033_FP1_0020_matching_graph,7,17
4_FP1_0008_FP1_0020_matching_graph,39,35
41_FP1_0033_FP1_0023_matching_graph,7,17
16_FP1_0047_FP1_0024_matching_graph,44,35
42_FP1_0033_FP1_0024_matching_graph,7,17
17_FP1_0047_FP1_0025_matching_graph,44,35
43_FP1_0033_FP1_0025_matching_graph,7,17
18_FP1_0047_FP1_0026_matching_graph,44,35
44_FP1_0033_FP1_0026_matching_graph,7,17
19_FP1_0047_FP1_0028_matching_graph,44,35
45_FP1_0033_FP1_0028_matching_graph,7,17
46_FP1_0033_FP1_0029_matching_graph,7,17
47_FP1_0033_FP1_0030_matching_graph,7,17
5_FP1_0008_FP1_0030_matching_graph,39,35
48_FP1_0033_FP1_0031_matching_graph,7,17
6_FP1_0008_FP1_0031_matching_graph,39,35
20_FP1_0047_FP1_0032_matching_graph,44,35
49_FP1_0033_FP1_0032_matching_graph,7,17
21_FP1_0047_FP1_0035_matching_graph,44,35
50_FP1_0033_FP1_0035_matching_graph,7,17
51_FP1_0033_FP1_0036_matching_graph,7,17
52_FP1_0033_FP1_0037_matching_graph,7,17
7_FP1_0008_FP1_0037_matching_graph,39,35
22_FP1_0047_FP1_0038_matching_graph,44,35
53_FP1_0033_FP1_0038_matching_graph,7,17
23_FP1_0047_FP1_0040_matching_graph,44,35
54_FP1_0033_FP1_0040_matching_graph,7,17
55_FP1_0033_FP1_0041_matching_graph,7,17
24_FP1_0047_FP1_0043_matching_graph,44,35
56_FP1_0033_FP1_0043_matching_graph,7,17
25_FP1_0047_FP1_0044_matching_graph,44,35
57_FP1_0033_FP1_0044_matching_graph,7,17
58_FP1_0033_FP1_0045_matching_graph,7,17
26_FP1_0047_FP1_0046_matching_graph,44,35
59_FP1_0033_FP1_0046_matching_graph,7,17
27_FP1_0047_FP1_0048_matching_graph,44,35
60_FP1_0033_FP1_0048_matching_graph,7,17
28_FP1_0047_FP1_0049_matching_graph,44,35
61_FP1_0033_FP1_0049_matching_graph,7,17
