,same class,different classes
10_334HP1_0003_matching_graph,5,29
30_89HP1_0003_matching_graph,2,3
31_118HP1_0003_matching_graph,2,3
32_145HP1_0003_matching_graph,2,3
33_178HP1_0003_matching_graph,2,3
34_212HP1_0003_matching_graph,2,3
35_243HP1_0003_matching_graph,2,3
36_302HP1_0003_matching_graph,2,3
37_355HP1_0003_matching_graph,2,3
38_129HP1_0003_matching_graph,2,3
39_156HP1_0003_matching_graph,2,3
40_186HP1_0003_matching_graph,2,3
41_311HP1_0003_matching_graph,2,3
42_339HP1_0003_matching_graph,2,3
43_22HP1_0003_matching_graph,2,3
44_52HP1_0003_matching_graph,2,3
45_69HP1_0003_matching_graph,2,3
46_131HP1_0003_matching_graph,2,3
48_191HP1_0003_matching_graph,2,3
50_243HP1_0003_matching_graph,2,3
52_69HP1_0003_matching_graph,2,3
54_126HP1_0003_matching_graph,2,3
56_154HP1_0003_matching_graph,2,3
58_182HP1_0003_matching_graph,2,3
60_350HP1_0003_matching_graph,2,3
62_73HP1_0003_matching_graph,2,3
47_185HP1_0010_matching_graph,1,4
49_230HP1_0010_matching_graph,1,4
51_188HP1_0010_matching_graph,1,4
53_303HP1_0010_matching_graph,1,4
55_360HP1_0010_matching_graph,1,4
57_564HP1_0010_matching_graph,1,4
59_497HP1_0010_matching_graph,1,4
61_518HP1_0010_matching_graph,1,4
63_401HP1_0010_matching_graph,1,4
64_426HP1_0010_matching_graph,1,4
66_534HP1_0010_matching_graph,1,4
68_476HP1_0010_matching_graph,1,4
70_541HP1_0010_matching_graph,1,4
72_389HP1_0010_matching_graph,1,4
74_414HP1_0010_matching_graph,1,4
76_639HP1_0010_matching_graph,1,4
9_572HP1_0010_matching_graph,10,29
11_289HP1_0020_matching_graph,6,22
12_467HP1_0020_matching_graph,6,22
13_741HP1_0020_matching_graph,6,22
14_863HP1_0020_matching_graph,6,22
15_839HP1_0020_matching_graph,6,22
65_83HP1_0025_matching_graph,0,2
67_136HP1_0025_matching_graph,0,2
69_310HP1_0025_matching_graph,0,2
71_22HP1_0025_matching_graph,0,2
73_87HP1_0025_matching_graph,0,2
75_121HP1_0025_matching_graph,0,2
77_113HP1_0025_matching_graph,0,2
78_397HP1_0025_matching_graph,0,2
16_66HP1_0027_matching_graph,10,24
17_191HP1_0027_matching_graph,10,24
18_441HP1_0027_matching_graph,10,24
19_484HP1_0027_matching_graph,10,24
20_655HP1_0027_matching_graph,10,24
21_662HP1_0027_matching_graph,10,24
22_886HP1_0027_matching_graph,10,24
23_1095HP1_0027_matching_graph,10,24
24_1138HP1_0027_matching_graph,10,24
25_995HP1_0027_matching_graph,10,24
26_1026HP1_0027_matching_graph,10,24
27_1047HP1_0027_matching_graph,10,24
28_906HP1_0027_matching_graph,10,24
29_982HP1_0027_matching_graph,10,24
0_280HP1_0030_matching_graph,6,30
1_337HP1_0030_matching_graph,6,30
2_570HP1_0030_matching_graph,6,30
3_719HP1_0030_matching_graph,6,30
4_682HP1_0030_matching_graph,6,30
5_1054HP1_0030_matching_graph,6,30
6_1205HP1_0030_matching_graph,6,30
7_1119HP1_0030_matching_graph,6,30
8_1187HP1_0030_matching_graph,6,30
79_210HP1_0032_matching_graph,0,2
