,same class,different classes
0_61VP1_0005_matching_graph,320,47
10_228VP1_0005_matching_graph,320,47
11_272VP1_0005_matching_graph,320,47
12_327VP1_0005_matching_graph,320,47
13_363VP1_0005_matching_graph,320,47
14_151VP1_0005_matching_graph,320,47
15_189VP1_0005_matching_graph,320,47
16_234VP1_0005_matching_graph,320,47
17_285VP1_0005_matching_graph,320,47
18_313VP1_0005_matching_graph,320,47
19_388VP1_0005_matching_graph,320,47
1_68VP1_0005_matching_graph,320,47
20_151VP1_0005_matching_graph,320,47
21_254VP1_0005_matching_graph,320,47
22_283VP1_0005_matching_graph,320,47
24_317VP1_0005_matching_graph,320,47
26_347VP1_0005_matching_graph,320,47
28_419VP1_0005_matching_graph,320,47
2_126VP1_0005_matching_graph,320,47
30_136VP1_0005_matching_graph,320,47
32_166VP1_0005_matching_graph,320,47
34_199VP1_0005_matching_graph,320,47
36_224VP1_0005_matching_graph,320,47
3_187VP1_0005_matching_graph,320,47
4_261VP1_0005_matching_graph,320,47
5_280VP1_0005_matching_graph,320,47
6_100VP1_0005_matching_graph,320,47
7_126VP1_0005_matching_graph,320,47
8_160VP1_0005_matching_graph,320,47
9_193VP1_0005_matching_graph,320,47
42_101VP1_0013_matching_graph,309,46
43_465VP1_0013_matching_graph,309,46
44_494VP1_0013_matching_graph,309,46
45_624VP1_0013_matching_graph,309,46
23_137VP1_0015_matching_graph,339,35
25_403VP1_0015_matching_graph,339,35
27_716VP1_0015_matching_graph,339,35
29_675VP1_0015_matching_graph,339,35
31_597VP1_0015_matching_graph,339,35
33_731VP1_0015_matching_graph,339,35
35_748VP1_0015_matching_graph,339,35
37_601VP1_0015_matching_graph,339,35
38_337VP1_0023_matching_graph,333,35
39_942VP1_0023_matching_graph,333,35
40_839VP1_0023_matching_graph,333,35
41_893VP1_0023_matching_graph,333,35
49_363VP1_0023_matching_graph,347,47
52_687VP1_0023_matching_graph,347,47
54_853VP1_0023_matching_graph,347,47
56_900VP1_0023_matching_graph,347,47
58_963VP1_0023_matching_graph,347,47
50_462VP1_0041_matching_graph,408,47
57_789VP1_0041_matching_graph,408,47
62_977VP1_0041_matching_graph,408,47
64_962VP1_0041_matching_graph,408,47
66_1036VP1_0041_matching_graph,408,47
67_317VP1_0041_matching_graph,340,47
69_607VP1_0041_matching_graph,340,47
72_780VP1_0041_matching_graph,340,47
74_1183VP1_0041_matching_graph,408,47
76_948VP1_0041_matching_graph,340,47
77_1138VP1_0041_matching_graph,408,47
78_1103VP1_0041_matching_graph,340,47
79_1174VP1_0041_matching_graph,408,47
46_337VP1_0044_matching_graph,408,47
48_369VP1_0044_matching_graph,408,47
53_546VP1_0044_matching_graph,408,47
55_582VP1_0044_matching_graph,408,47
59_870VP1_0044_matching_graph,408,47
60_936VP1_0044_matching_graph,408,47
61_848VP1_0044_matching_graph,408,47
63_1022VP1_0044_matching_graph,408,47
65_1016VP1_0044_matching_graph,408,47
68_1101VP1_0044_matching_graph,408,47
70_1209VP1_0044_matching_graph,408,47
75_1215VP1_0044_matching_graph,408,47
47_148VP1_0049_matching_graph,340,44
51_226VP1_0049_matching_graph,340,44
71_1123VP1_0049_matching_graph,319,33
73_1167VP1_0049_matching_graph,319,33
