,same class,different classes
76_538NP1_0009_matching_graph,472,49
49_183NP1_0010_matching_graph,65,34
50_40NP1_0010_matching_graph,65,34
51_339NP1_0010_matching_graph,65,34
52_320NP1_0010_matching_graph,278,50
53_334NP1_0010_matching_graph,65,34
54_490NP1_0010_matching_graph,278,50
55_565NP1_0010_matching_graph,65,34
56_535NP1_0010_matching_graph,278,50
57_529NP1_0010_matching_graph,65,34
58_546NP1_0010_matching_graph,65,34
59_571NP1_0010_matching_graph,65,34
60_357NP1_0010_matching_graph,65,34
61_472NP1_0010_matching_graph,65,34
62_512NP1_0010_matching_graph,65,34
63_530NP1_0010_matching_graph,65,34
64_383NP1_0010_matching_graph,65,34
65_399NP1_0010_matching_graph,65,34
66_447NP1_0010_matching_graph,65,34
67_493NP1_0010_matching_graph,65,34
68_437NP1_0010_matching_graph,65,34
69_546NP1_0010_matching_graph,65,34
70_587NP1_0010_matching_graph,65,34
75_406NP1_0010_matching_graph,468,47
77_757NP1_0020_matching_graph,453,47
78_302NP1_0020_matching_graph,62,34
79_285NP1_0020_matching_graph,62,34
5_807NP1_0021_matching_graph,455,50
6_777NP1_0021_matching_graph,455,50
7_796NP1_0021_matching_graph,455,50
8_755NP1_0021_matching_graph,455,50
0_710NP1_0022_matching_graph,466,49
13_205NP1_0022_matching_graph,64,36
15_49NP1_0022_matching_graph,64,36
16_200NP1_0022_matching_graph,64,36
17_283NP1_0022_matching_graph,64,36
18_357NP1_0022_matching_graph,64,36
19_396NP1_0022_matching_graph,64,36
1_796NP1_0022_matching_graph,466,49
20_576NP1_0022_matching_graph,64,36
21_473NP1_0022_matching_graph,64,36
22_748NP1_0022_matching_graph,64,36
23_849NP1_0022_matching_graph,64,36
24_813NP1_0022_matching_graph,64,36
25_939NP1_0022_matching_graph,64,36
26_732NP1_0022_matching_graph,64,36
27_759NP1_0022_matching_graph,64,36
28_785NP1_0022_matching_graph,64,36
29_812NP1_0022_matching_graph,64,36
2_765NP1_0022_matching_graph,466,49
30_837NP1_0022_matching_graph,64,36
31_891NP1_0022_matching_graph,64,36
32_997NP1_0022_matching_graph,64,36
33_792NP1_0022_matching_graph,64,36
34_845NP1_0022_matching_graph,64,36
35_873NP1_0022_matching_graph,64,36
36_900NP1_0022_matching_graph,64,36
38_933NP1_0022_matching_graph,64,36
3_834NP1_0022_matching_graph,466,49
40_957NP1_0022_matching_graph,64,36
42_1000NP1_0022_matching_graph,64,36
44_748NP1_0022_matching_graph,64,36
46_775NP1_0022_matching_graph,64,36
48_805NP1_0022_matching_graph,64,36
37_448NP1_0033_matching_graph,67,36
39_729NP1_0033_matching_graph,67,36
41_997NP1_0033_matching_graph,67,36
43_1055NP1_0033_matching_graph,67,36
45_1128NP1_0033_matching_graph,67,36
47_1028NP1_0033_matching_graph,67,36
4_873NP1_0038_matching_graph,63,36
74_625NP1_0038_matching_graph,288,49
71_532NP1_0041_matching_graph,293,50
72_452NP1_0041_matching_graph,293,50
73_792NP1_0041_matching_graph,293,50
10_748NP1_0044_matching_graph,152,49
11_1017NP1_0044_matching_graph,152,49
12_1097NP1_0044_matching_graph,152,49
14_1140NP1_0044_matching_graph,152,49
9_482NP1_0044_matching_graph,152,49
