,same class,different classes
0_78TP1_0012_matching_graph,319,49
10_625TP1_0012_matching_graph,319,49
11_683TP1_0012_matching_graph,319,49
1_165TP1_0012_matching_graph,319,49
2_371TP1_0012_matching_graph,319,49
3_698TP1_0012_matching_graph,319,49
4_447TP1_0012_matching_graph,319,49
5_535TP1_0012_matching_graph,319,49
6_677TP1_0012_matching_graph,319,49
7_450TP1_0012_matching_graph,319,49
8_576TP1_0012_matching_graph,319,49
9_701TP1_0012_matching_graph,319,49
22_224TP1_0018_matching_graph,328,49
23_168TP1_0018_matching_graph,328,49
24_239TP1_0018_matching_graph,328,49
25_262TP1_0018_matching_graph,328,49
26_298TP1_0018_matching_graph,328,49
27_464TP1_0018_matching_graph,328,49
29_698TP1_0018_matching_graph,328,49
31_539TP1_0018_matching_graph,328,49
33_681TP1_0018_matching_graph,328,49
35_798TP1_0018_matching_graph,328,49
37_846TP1_0018_matching_graph,328,49
39_625TP1_0018_matching_graph,328,49
41_711TP1_0018_matching_graph,328,49
43_807TP1_0018_matching_graph,328,49
45_829TP1_0018_matching_graph,328,49
47_724TP1_0018_matching_graph,328,49
50_750TP1_0018_matching_graph,328,49
53_838TP1_0018_matching_graph,328,49
55_650TP1_0018_matching_graph,328,49
63_177TP1_0034_matching_graph,309,48
64_363TP1_0034_matching_graph,309,48
65_397TP1_0034_matching_graph,309,48
66_373TP1_0034_matching_graph,309,48
67_792TP1_0034_matching_graph,309,48
68_809TP1_0034_matching_graph,309,48
69_807TP1_0034_matching_graph,309,48
70_1078TP1_0034_matching_graph,309,48
71_1092TP1_0034_matching_graph,309,48
72_1057TP1_0034_matching_graph,309,48
73_1109TP1_0034_matching_graph,309,48
74_1116TP1_0034_matching_graph,309,48
75_1167TP1_0034_matching_graph,309,48
76_1183TP1_0034_matching_graph,309,48
77_1126TP1_0034_matching_graph,309,48
78_1145TP1_0034_matching_graph,309,48
79_1176TP1_0034_matching_graph,309,48
28_110TP1_0035_matching_graph,325,49
30_103TP1_0035_matching_graph,325,49
32_576TP1_0035_matching_graph,325,49
34_775TP1_0035_matching_graph,325,49
36_834TP1_0035_matching_graph,325,49
38_829TP1_0035_matching_graph,325,49
40_790TP1_0035_matching_graph,325,49
42_1051TP1_0035_matching_graph,325,49
44_1116TP1_0035_matching_graph,325,49
46_1114TP1_0035_matching_graph,325,49
48_1127TP1_0035_matching_graph,325,49
51_1155TP1_0035_matching_graph,325,49
49_216TP1_0039_matching_graph,324,48
52_221TP1_0039_matching_graph,324,48
54_703TP1_0039_matching_graph,324,48
56_570TP1_0039_matching_graph,324,48
57_650TP1_0039_matching_graph,324,48
58_665TP1_0039_matching_graph,324,48
59_891TP1_0039_matching_graph,324,48
60_986TP1_0039_matching_graph,324,48
61_1183TP1_0039_matching_graph,324,48
62_1223TP1_0039_matching_graph,324,48
12_231TP1_0049_matching_graph,322,48
13_187TP1_0049_matching_graph,322,48
14_683TP1_0049_matching_graph,322,48
15_563TP1_0049_matching_graph,322,48
16_650TP1_0049_matching_graph,322,48
17_941TP1_0049_matching_graph,322,48
18_884TP1_0049_matching_graph,322,48
19_1151TP1_0049_matching_graph,322,48
20_1176TP1_0049_matching_graph,322,48
21_1176TP1_0049_matching_graph,322,48
