,same class,different classes
0_56XP1_0000_matching_graph,196,50
1_264XP1_0000_matching_graph,196,50
2_17XP1_0000_matching_graph,196,50
3_58XP1_0000_matching_graph,196,50
4_83XP1_0000_matching_graph,196,50
5_105XP1_0000_matching_graph,196,50
6_138XP1_0000_matching_graph,196,50
7_41XP1_0000_matching_graph,196,50
8_300XP1_0000_matching_graph,196,50
25_39XP1_0001_matching_graph,195,49
26_93XP1_0001_matching_graph,195,49
27_161XP1_0001_matching_graph,195,49
28_26XP1_0001_matching_graph,195,49
29_62XP1_0001_matching_graph,195,49
30_87XP1_0001_matching_graph,195,49
31_107XP1_0001_matching_graph,195,49
32_140XP1_0001_matching_graph,195,49
33_172XP1_0001_matching_graph,195,49
34_215XP1_0001_matching_graph,195,49
35_248XP1_0001_matching_graph,195,49
36_45XP1_0001_matching_graph,195,49
37_142XP1_0001_matching_graph,195,49
38_224XP1_0001_matching_graph,195,49
39_31XP1_0001_matching_graph,195,49
40_88XP1_0001_matching_graph,195,49
41_138XP1_0001_matching_graph,195,49
42_169XP1_0001_matching_graph,195,49
43_203XP1_0001_matching_graph,195,49
10_289XP1_0006_matching_graph,175,49
11_368XP1_0006_matching_graph,175,49
12_118XP1_0006_matching_graph,175,49
13_232XP1_0006_matching_graph,175,49
14_284XP1_0006_matching_graph,175,49
15_307XP1_0006_matching_graph,175,49
16_364XP1_0006_matching_graph,175,49
17_125XP1_0006_matching_graph,175,49
18_163XP1_0006_matching_graph,175,49
19_181XP1_0006_matching_graph,175,49
20_246XP1_0006_matching_graph,175,49
21_362XP1_0006_matching_graph,175,49
22_215XP1_0006_matching_graph,175,49
23_296XP1_0006_matching_graph,175,49
24_385XP1_0006_matching_graph,175,49
9_237XP1_0006_matching_graph,175,49
45_41XP1_0035_matching_graph,167,49
47_143XP1_0035_matching_graph,167,49
49_348XP1_0035_matching_graph,167,49
51_118XP1_0035_matching_graph,167,49
53_362XP1_0035_matching_graph,167,49
55_444XP1_0035_matching_graph,167,49
57_412XP1_0035_matching_graph,167,49
59_451XP1_0035_matching_graph,167,49
61_625XP1_0035_matching_graph,167,49
63_752XP1_0035_matching_graph,167,49
65_896XP1_0035_matching_graph,167,49
67_863XP1_0035_matching_graph,167,49
69_712XP1_0035_matching_graph,167,49
71_903XP1_0035_matching_graph,167,49
73_897XP1_0035_matching_graph,167,49
75_1011XP1_0035_matching_graph,167,49
77_1035XP1_0035_matching_graph,167,49
79_876XP1_0035_matching_graph,167,49
44_102XP1_0048_matching_graph,186,49
46_131XP1_0048_matching_graph,186,49
48_184XP1_0048_matching_graph,186,49
50_497XP1_0048_matching_graph,186,49
52_429XP1_0048_matching_graph,186,49
54_490XP1_0048_matching_graph,186,49
56_644XP1_0048_matching_graph,186,49
58_721XP1_0048_matching_graph,186,49
60_688XP1_0048_matching_graph,186,49
62_940XP1_0048_matching_graph,186,49
64_889XP1_0048_matching_graph,186,49
66_790XP1_0048_matching_graph,186,49
68_985XP1_0048_matching_graph,186,49
70_1083XP1_0048_matching_graph,186,49
72_893XP1_0048_matching_graph,186,49
74_961XP1_0048_matching_graph,186,49
76_1170XP1_0048_matching_graph,186,49
78_1155XP1_0048_matching_graph,186,49
