,same class,different classes
0_210ZP1_0001_matching_graph,215,49
1_34ZP1_0001_matching_graph,215,49
2_64ZP1_0001_matching_graph,215,49
3_90ZP1_0001_matching_graph,215,49
4_173ZP1_0001_matching_graph,215,49
5_194ZP1_0001_matching_graph,215,49
77_98ZP1_0006_matching_graph,237,48
79_211ZP1_0006_matching_graph,237,48
29_446ZP1_0008_matching_graph,216,47
31_539ZP1_0008_matching_graph,216,47
56_275ZP1_0009_matching_graph,201,46
59_440ZP1_0009_matching_graph,201,46
62_555ZP1_0009_matching_graph,201,46
65_404ZP1_0009_matching_graph,201,46
72_355ZP1_0009_matching_graph,232,48
73_526ZP1_0009_matching_graph,232,48
19_340ZP1_0010_matching_graph,227,49
20_478ZP1_0010_matching_graph,227,49
21_504ZP1_0010_matching_graph,227,49
22_585ZP1_0010_matching_graph,227,49
70_399ZP1_0012_matching_graph,189,49
71_581ZP1_0012_matching_graph,189,49
24_410ZP1_0013_matching_graph,215,48
25_355ZP1_0013_matching_graph,215,48
26_581ZP1_0013_matching_graph,215,48
27_483ZP1_0013_matching_graph,215,48
28_543ZP1_0013_matching_graph,215,48
30_614ZP1_0013_matching_graph,215,48
32_717ZP1_0013_matching_graph,215,48
33_478ZP1_0013_matching_graph,215,48
34_620ZP1_0013_matching_graph,215,48
35_659ZP1_0013_matching_graph,215,48
36_678ZP1_0013_matching_graph,215,48
37_712ZP1_0013_matching_graph,215,48
75_400ZP1_0023_matching_graph,226,47
76_783ZP1_0023_matching_graph,226,47
78_842ZP1_0023_matching_graph,226,47
13_97ZP1_0028_matching_graph,204,48
14_84ZP1_0028_matching_graph,204,48
15_540ZP1_0028_matching_graph,204,48
16_789ZP1_0028_matching_graph,204,48
17_1044ZP1_0028_matching_graph,204,48
18_1095ZP1_0028_matching_graph,204,48
74_1031ZP1_0028_matching_graph,220,47
38_90ZP1_0033_matching_graph,226,49
39_504ZP1_0033_matching_graph,226,49
40_666ZP1_0033_matching_graph,226,49
41_620ZP1_0033_matching_graph,226,49
42_713ZP1_0033_matching_graph,226,49
43_779ZP1_0033_matching_graph,226,49
44_838ZP1_0033_matching_graph,226,49
45_1065ZP1_0033_matching_graph,226,49
10_980ZP1_0039_matching_graph,192,48
11_111ZP1_0039_matching_graph,57,48
12_1106ZP1_0039_matching_graph,57,48
47_863ZP1_0039_matching_graph,77,48
48_1035ZP1_0039_matching_graph,77,48
49_1148ZP1_0039_matching_graph,77,48
58_257ZP1_0039_matching_graph,19,48
61_680ZP1_0039_matching_graph,19,48
64_1020ZP1_0039_matching_graph,19,48
66_948ZP1_0039_matching_graph,19,48
68_1140ZP1_0039_matching_graph,19,48
69_1208ZP1_0039_matching_graph,19,48
6_256ZP1_0039_matching_graph,30,30
7_521ZP1_0039_matching_graph,30,30
8_682ZP1_0039_matching_graph,30,30
9_99ZP1_0039_matching_graph,192,48
23_50ZP1_0048_matching_graph,229,47
46_195ZP1_0048_matching_graph,221,48
50_554ZP1_0048_matching_graph,104,47
51_248ZP1_0048_matching_graph,59,47
52_407ZP1_0048_matching_graph,59,47
53_514ZP1_0048_matching_graph,59,47
54_557ZP1_0048_matching_graph,59,47
55_675ZP1_0048_matching_graph,59,47
57_814ZP1_0048_matching_graph,59,47
60_943ZP1_0048_matching_graph,59,47
63_1119ZP1_0048_matching_graph,59,47
67_1110ZP1_0048_matching_graph,59,47
