,same class,different classes
10_191KP1_0006_matching_graph,82,47
11_328KP1_0006_matching_graph,82,47
12_355KP1_0006_matching_graph,82,47
38_285KP1_0006_matching_graph,198,47
41_401KP1_0006_matching_graph,212,48
42_255KP1_0006_matching_graph,212,48
43_384KP1_0006_matching_graph,212,48
44_420KP1_0006_matching_graph,212,48
45_156KP1_0006_matching_graph,212,48
5_259KP1_0006_matching_graph,82,47
6_282KP1_0006_matching_graph,82,47
7_379KP1_0006_matching_graph,82,47
8_244KP1_0006_matching_graph,82,47
9_278KP1_0006_matching_graph,82,47
13_611KP1_0009_matching_graph,174,48
39_633KP1_0009_matching_graph,68,47
0_93KP1_0010_matching_graph,67,46
1_266KP1_0010_matching_graph,67,46
2_541KP1_0010_matching_graph,67,46
34_619KP1_0010_matching_graph,167,47
3_378KP1_0010_matching_graph,67,46
46_655KP1_0013_matching_graph,225,46
47_675KP1_0013_matching_graph,225,46
78_622KP1_0015_matching_graph,219,46
33_826KP1_0021_matching_graph,179,46
35_976KP1_0021_matching_graph,179,46
36_1000KP1_0021_matching_graph,179,46
37_911KP1_0021_matching_graph,179,46
48_368KP1_0021_matching_graph,70,43
50_471KP1_0021_matching_graph,70,43
52_743KP1_0021_matching_graph,70,43
54_899KP1_0021_matching_graph,70,43
56_986KP1_0021_matching_graph,70,43
58_864KP1_0021_matching_graph,70,43
60_879KP1_0021_matching_graph,70,43
62_988KP1_0021_matching_graph,70,43
66_37KP1_0027_matching_graph,74,46
67_135KP1_0027_matching_graph,74,46
68_191KP1_0027_matching_graph,74,46
69_486KP1_0027_matching_graph,74,46
70_986KP1_0027_matching_graph,74,46
71_1006KP1_0027_matching_graph,74,46
72_895KP1_0027_matching_graph,74,46
73_1011KP1_0027_matching_graph,74,46
74_1034KP1_0027_matching_graph,74,46
75_1092KP1_0027_matching_graph,74,46
76_882KP1_0027_matching_graph,74,46
77_525KP1_0027_matching_graph,189,48
16_847KP1_0028_matching_graph,171,47
40_911KP1_0028_matching_graph,65,44
79_66KP1_0028_matching_graph,81,45
24_255KP1_0029_matching_graph,172,47
26_744KP1_0029_matching_graph,172,47
27_874KP1_0029_matching_graph,172,47
28_1012KP1_0029_matching_graph,172,47
29_1115KP1_0029_matching_graph,172,47
30_1028KP1_0029_matching_graph,172,47
31_1126KP1_0029_matching_graph,172,47
32_907KP1_0029_matching_graph,172,47
14_239KP1_0034_matching_graph,169,48
15_385KP1_0034_matching_graph,169,48
17_443KP1_0034_matching_graph,169,48
18_901KP1_0034_matching_graph,169,48
19_1017KP1_0034_matching_graph,169,48
20_1004KP1_0034_matching_graph,169,48
21_1138KP1_0034_matching_graph,169,48
22_1012KP1_0034_matching_graph,169,48
23_1065KP1_0034_matching_graph,169,48
25_1140KP1_0034_matching_graph,169,48
49_196KP1_0044_matching_graph,77,45
51_355KP1_0044_matching_graph,77,45
53_405KP1_0044_matching_graph,77,45
55_880KP1_0044_matching_graph,77,45
57_1071KP1_0044_matching_graph,77,45
59_992KP1_0044_matching_graph,77,45
61_1175KP1_0044_matching_graph,77,45
63_1093KP1_0044_matching_graph,77,45
64_1193KP1_0044_matching_graph,77,45
65_1157KP1_0044_matching_graph,77,45
4_622KP1_0049_matching_graph,172,47
