,same class,different classes
41_119FP1_0000_matching_graph,51,40
42_306FP1_0000_matching_graph,51,40
44_28FP1_0000_matching_graph,51,40
46_82FP1_0000_matching_graph,51,40
48_178FP1_0000_matching_graph,51,40
50_270FP1_0000_matching_graph,51,40
52_30FP1_0000_matching_graph,51,40
54_200FP1_0000_matching_graph,51,40
56_284FP1_0000_matching_graph,51,40
58_21FP1_0000_matching_graph,51,40
60_104FP1_0000_matching_graph,51,40
62_150FP1_0000_matching_graph,51,40
64_171FP1_0000_matching_graph,51,40
66_52FP1_0000_matching_graph,51,40
0_119FP1_0005_matching_graph,55,42
10_141FP1_0005_matching_graph,55,42
11_174FP1_0005_matching_graph,55,42
12_211FP1_0005_matching_graph,55,42
13_347FP1_0005_matching_graph,55,42
14_380FP1_0005_matching_graph,55,42
15_174FP1_0005_matching_graph,55,42
16_353FP1_0005_matching_graph,55,42
17_375FP1_0005_matching_graph,55,42
18_143FP1_0005_matching_graph,55,42
1_28FP1_0005_matching_graph,55,42
2_164FP1_0005_matching_graph,55,42
3_233FP1_0005_matching_graph,55,42
4_263FP1_0005_matching_graph,55,42
5_388FP1_0005_matching_graph,55,42
6_146FP1_0005_matching_graph,55,42
7_187FP1_0005_matching_graph,55,42
8_211FP1_0005_matching_graph,55,42
9_282FP1_0005_matching_graph,55,42
19_270FP1_0021_matching_graph,43,39
20_49FP1_0021_matching_graph,43,39
21_165FP1_0021_matching_graph,43,39
22_321FP1_0021_matching_graph,43,39
23_356FP1_0021_matching_graph,43,39
24_493FP1_0021_matching_graph,43,39
25_609FP1_0021_matching_graph,43,39
26_783FP1_0021_matching_graph,43,39
27_787FP1_0021_matching_graph,43,39
28_794FP1_0021_matching_graph,43,39
29_880FP1_0021_matching_graph,43,39
30_903FP1_0021_matching_graph,43,39
31_959FP1_0021_matching_graph,43,39
32_756FP1_0021_matching_graph,43,39
33_805FP1_0021_matching_graph,43,39
34_834FP1_0021_matching_graph,43,39
35_883FP1_0021_matching_graph,43,39
36_960FP1_0021_matching_graph,43,39
37_799FP1_0021_matching_graph,43,39
38_849FP1_0021_matching_graph,43,39
39_870FP1_0021_matching_graph,43,39
40_892FP1_0021_matching_graph,43,39
72_306FP1_0026_matching_graph,45,45
73_47FP1_0026_matching_graph,45,45
74_174FP1_0026_matching_graph,45,45
75_576FP1_0026_matching_graph,45,45
76_624FP1_0026_matching_graph,45,45
77_659FP1_0026_matching_graph,45,45
78_954FP1_0026_matching_graph,45,45
79_815FP1_0026_matching_graph,45,45
43_174FP1_0032_matching_graph,48,41
45_329FP1_0032_matching_graph,48,41
47_584FP1_0032_matching_graph,48,41
49_714FP1_0032_matching_graph,48,41
51_792FP1_0032_matching_graph,48,41
53_723FP1_0032_matching_graph,48,41
55_805FP1_0032_matching_graph,48,41
57_990FP1_0032_matching_graph,48,41
59_1095FP1_0032_matching_graph,48,41
61_1072FP1_0032_matching_graph,48,41
63_1155FP1_0032_matching_graph,48,41
65_1186FP1_0032_matching_graph,48,41
67_988FP1_0032_matching_graph,48,41
68_1032FP1_0032_matching_graph,48,41
69_1072FP1_0032_matching_graph,48,41
70_1153FP1_0032_matching_graph,48,41
71_1169FP1_0032_matching_graph,48,41
