,same class,different classes
0_113YP1_0019_matching_graph,18,44
10_709YP1_0019_matching_graph,18,44
11_716YP1_0019_matching_graph,18,44
12_709YP1_0019_matching_graph,18,44
13_746YP1_0019_matching_graph,18,44
14_753YP1_0019_matching_graph,18,44
15_761YP1_0019_matching_graph,18,44
16_781YP1_0019_matching_graph,18,44
17_786YP1_0019_matching_graph,18,44
18_720YP1_0019_matching_graph,18,44
19_738YP1_0019_matching_graph,18,44
1_236YP1_0019_matching_graph,18,44
20_765YP1_0019_matching_graph,18,44
21_782YP1_0019_matching_graph,18,44
22_787YP1_0019_matching_graph,18,44
23_789YP1_0019_matching_graph,18,44
24_790YP1_0019_matching_graph,18,44
25_791YP1_0019_matching_graph,18,44
26_792YP1_0019_matching_graph,18,44
27_715YP1_0019_matching_graph,18,44
28_738YP1_0019_matching_graph,18,44
29_750YP1_0019_matching_graph,18,44
2_254YP1_0019_matching_graph,18,44
30_760YP1_0019_matching_graph,18,44
31_774YP1_0019_matching_graph,18,44
32_779YP1_0019_matching_graph,18,44
3_468YP1_0019_matching_graph,18,44
4_584YP1_0019_matching_graph,18,44
5_409YP1_0019_matching_graph,18,44
6_520YP1_0019_matching_graph,18,44
7_606YP1_0019_matching_graph,18,44
8_690YP1_0019_matching_graph,18,44
9_706YP1_0019_matching_graph,18,44
47_157YP1_0021_matching_graph,18,41
48_292YP1_0021_matching_graph,18,41
49_304YP1_0021_matching_graph,18,41
50_511YP1_0021_matching_graph,18,41
51_644YP1_0021_matching_graph,18,41
52_456YP1_0021_matching_graph,18,41
53_559YP1_0021_matching_graph,18,41
54_641YP1_0021_matching_graph,18,41
55_719YP1_0021_matching_graph,18,41
56_738YP1_0021_matching_graph,18,41
57_737YP1_0021_matching_graph,18,41
58_749YP1_0021_matching_graph,18,41
59_786YP1_0021_matching_graph,18,41
60_841YP1_0021_matching_graph,18,41
61_854YP1_0021_matching_graph,18,41
62_881YP1_0021_matching_graph,18,41
63_801YP1_0021_matching_graph,18,41
64_807YP1_0021_matching_graph,18,41
65_815YP1_0021_matching_graph,18,41
66_822YP1_0021_matching_graph,18,41
67_858YP1_0021_matching_graph,18,41
68_906YP1_0021_matching_graph,18,41
69_935YP1_0021_matching_graph,18,41
70_959YP1_0021_matching_graph,18,41
71_980YP1_0021_matching_graph,18,41
72_813YP1_0021_matching_graph,18,41
73_829YP1_0021_matching_graph,18,41
74_845YP1_0021_matching_graph,18,41
75_884YP1_0021_matching_graph,18,41
76_910YP1_0021_matching_graph,18,41
77_935YP1_0021_matching_graph,18,41
78_966YP1_0021_matching_graph,18,41
79_983YP1_0021_matching_graph,18,41
33_407YP1_0046_matching_graph,15,43
34_446YP1_0046_matching_graph,15,43
35_570YP1_0046_matching_graph,15,43
36_745YP1_0046_matching_graph,15,43
37_772YP1_0046_matching_graph,15,43
38_948YP1_0046_matching_graph,15,43
39_1080YP1_0046_matching_graph,15,43
40_1129YP1_0046_matching_graph,15,43
41_1187YP1_0046_matching_graph,15,43
42_1180YP1_0046_matching_graph,15,43
43_1070YP1_0046_matching_graph,15,43
44_1067YP1_0046_matching_graph,15,43
45_1177YP1_0046_matching_graph,15,43
46_1159YP1_0046_matching_graph,15,43
