,same class,different classes
18_206AP1_0007_matching_graph,14,36
19_258AP1_0007_matching_graph,14,36
20_255AP1_0007_matching_graph,14,36
21_278AP1_0007_matching_graph,14,36
22_321AP1_0007_matching_graph,14,36
23_350AP1_0007_matching_graph,14,36
24_175AP1_0007_matching_graph,14,36
25_194AP1_0007_matching_graph,14,36
26_222AP1_0007_matching_graph,14,36
27_274AP1_0007_matching_graph,14,36
29_316AP1_0007_matching_graph,14,36
31_330AP1_0007_matching_graph,14,36
33_187AP1_0007_matching_graph,14,36
35_284AP1_0007_matching_graph,14,36
37_351AP1_0007_matching_graph,14,36
39_352AP1_0007_matching_graph,14,36
43_472AP1_0007_matching_graph,14,36
55_195AP1_0019_matching_graph,15,34
56_57AP1_0019_matching_graph,15,34
57_155AP1_0019_matching_graph,15,34
58_222AP1_0019_matching_graph,15,34
59_497AP1_0019_matching_graph,15,34
60_751AP1_0019_matching_graph,15,34
61_790AP1_0019_matching_graph,15,34
62_872AP1_0019_matching_graph,15,34
63_681AP1_0019_matching_graph,15,34
64_910AP1_0019_matching_graph,15,34
65_945AP1_0019_matching_graph,15,34
66_1007AP1_0019_matching_graph,15,34
67_754AP1_0019_matching_graph,15,34
68_784AP1_0019_matching_graph,15,34
41_511AP1_0027_matching_graph,144,46
44_838AP1_0027_matching_graph,144,46
46_1067AP1_0027_matching_graph,144,46
48_1079AP1_0027_matching_graph,144,46
50_900AP1_0027_matching_graph,144,46
52_964AP1_0027_matching_graph,144,46
69_103AP1_0027_matching_graph,15,20
28_140AP1_0032_matching_graph,12,37
30_633AP1_0032_matching_graph,12,37
32_587AP1_0032_matching_graph,12,37
34_767AP1_0032_matching_graph,12,37
36_793AP1_0032_matching_graph,12,37
38_822AP1_0032_matching_graph,12,37
40_820AP1_0032_matching_graph,12,37
42_1007AP1_0032_matching_graph,12,37
45_1071AP1_0032_matching_graph,12,37
47_1020AP1_0032_matching_graph,12,37
49_1173AP1_0032_matching_graph,12,37
51_1109AP1_0032_matching_graph,12,37
53_1135AP1_0032_matching_graph,12,37
54_1178AP1_0032_matching_graph,12,37
0_105AP1_0037_matching_graph,19,41
10_1127AP1_0037_matching_graph,19,41
11_1218AP1_0037_matching_graph,19,41
12_1069AP1_0037_matching_graph,19,41
13_1123AP1_0037_matching_graph,19,41
14_1143AP1_0037_matching_graph,19,41
15_1158AP1_0037_matching_graph,19,41
16_1221AP1_0037_matching_graph,19,41
17_1074AP1_0037_matching_graph,19,41
1_120AP1_0037_matching_graph,19,41
2_68AP1_0037_matching_graph,19,41
3_352AP1_0037_matching_graph,19,41
4_518AP1_0037_matching_graph,19,41
5_680AP1_0037_matching_graph,19,41
6_910AP1_0037_matching_graph,19,41
7_955AP1_0037_matching_graph,19,41
8_930AP1_0037_matching_graph,19,41
9_891AP1_0037_matching_graph,19,41
79_160AP1_0039_matching_graph,19,34
70_320AP1_0043_matching_graph,5,32
71_331AP1_0043_matching_graph,5,32
72_755AP1_0043_matching_graph,5,32
73_994AP1_0043_matching_graph,5,32
74_1091AP1_0043_matching_graph,5,32
75_1200AP1_0043_matching_graph,5,32
76_1204AP1_0043_matching_graph,5,32
77_1198AP1_0043_matching_graph,5,32
78_1207AP1_0043_matching_graph,5,32
