,same class,different classes
50_11LP1_0012_matching_graph,62,37
52_78LP1_0012_matching_graph,62,37
54_322LP1_0012_matching_graph,62,37
56_387LP1_0012_matching_graph,62,37
58_487LP1_0012_matching_graph,62,37
60_406LP1_0012_matching_graph,62,37
62_567LP1_0012_matching_graph,62,37
64_608LP1_0012_matching_graph,62,37
66_623LP1_0012_matching_graph,62,37
68_661LP1_0012_matching_graph,62,37
70_475LP1_0012_matching_graph,62,37
72_495LP1_0012_matching_graph,62,37
74_513LP1_0012_matching_graph,62,37
76_565LP1_0012_matching_graph,62,37
78_604LP1_0012_matching_graph,62,37
42_137LP1_0020_matching_graph,66,36
43_35LP1_0020_matching_graph,66,36
44_217LP1_0020_matching_graph,66,36
45_331LP1_0020_matching_graph,66,36
46_431LP1_0020_matching_graph,66,36
47_572LP1_0020_matching_graph,66,36
48_495LP1_0020_matching_graph,66,36
49_676LP1_0020_matching_graph,66,36
51_683LP1_0020_matching_graph,66,36
53_778LP1_0020_matching_graph,66,36
55_741LP1_0020_matching_graph,66,36
57_956LP1_0020_matching_graph,66,36
59_737LP1_0020_matching_graph,66,36
61_783LP1_0020_matching_graph,66,36
63_803LP1_0020_matching_graph,66,36
65_835LP1_0020_matching_graph,66,36
67_867LP1_0020_matching_graph,66,36
69_904LP1_0020_matching_graph,66,36
71_967LP1_0020_matching_graph,66,36
73_996LP1_0020_matching_graph,66,36
75_1021LP1_0020_matching_graph,66,36
77_737LP1_0020_matching_graph,66,36
79_759LP1_0020_matching_graph,66,36
0_15LP1_0045_matching_graph,64,36
10_809LP1_0045_matching_graph,64,36
11_900LP1_0045_matching_graph,64,36
12_892LP1_0045_matching_graph,64,36
13_1054LP1_0045_matching_graph,64,36
14_1061LP1_0045_matching_graph,64,36
15_1081LP1_0045_matching_graph,64,36
16_1071LP1_0045_matching_graph,64,36
17_999LP1_0045_matching_graph,64,36
18_1008LP1_0045_matching_graph,64,36
19_1105LP1_0045_matching_graph,64,36
1_117LP1_0045_matching_graph,64,36
20_1063LP1_0045_matching_graph,64,36
21_1128LP1_0045_matching_graph,64,36
22_1188LP1_0045_matching_graph,64,36
23_1209LP1_0045_matching_graph,64,36
24_1222LP1_0045_matching_graph,64,36
25_1223LP1_0045_matching_graph,64,36
26_1222LP1_0045_matching_graph,64,36
27_1185LP1_0045_matching_graph,64,36
28_1123LP1_0045_matching_graph,64,36
29_1132LP1_0045_matching_graph,64,36
2_312LP1_0045_matching_graph,64,36
30_1187LP1_0045_matching_graph,64,36
31_1197LP1_0045_matching_graph,64,36
32_1206LP1_0045_matching_graph,64,36
33_227LP1_0045_matching_graph,165,47
34_383LP1_0045_matching_graph,165,47
35_458LP1_0045_matching_graph,165,47
36_435LP1_0045_matching_graph,165,47
37_391LP1_0045_matching_graph,165,47
38_690LP1_0045_matching_graph,165,47
39_929LP1_0045_matching_graph,165,47
3_408LP1_0045_matching_graph,64,36
40_772LP1_0045_matching_graph,165,47
41_1076LP1_0045_matching_graph,165,47
4_502LP1_0045_matching_graph,64,36
5_474LP1_0045_matching_graph,64,36
6_573LP1_0045_matching_graph,64,36
7_699LP1_0045_matching_graph,64,36
8_702LP1_0045_matching_graph,64,36
9_853LP1_0045_matching_graph,64,36
