,same class,different classes
21_63AP1_0007_matching_graph,36,14
23_138AP1_0007_matching_graph,36,14
25_864AP1_0007_matching_graph,36,14
27_878AP1_0007_matching_graph,36,14
29_915AP1_0007_matching_graph,36,14
31_974AP1_0007_matching_graph,36,14
33_197AP1_0007_matching_graph,36,14
35_205AP1_0007_matching_graph,36,14
37_219AP1_0007_matching_graph,36,14
39_236AP1_0007_matching_graph,36,14
41_258AP1_0007_matching_graph,36,14
43_267AP1_0007_matching_graph,36,14
45_214AP1_0007_matching_graph,36,14
47_269AP1_0007_matching_graph,36,14
49_323AP1_0007_matching_graph,36,14
50_331AP1_0007_matching_graph,36,14
51_271AP1_0007_matching_graph,36,14
52_162AP1_0019_matching_graph,34,15
53_77AP1_0019_matching_graph,34,15
54_143AP1_0019_matching_graph,34,15
55_219AP1_0019_matching_graph,34,15
56_331AP1_0019_matching_graph,34,15
57_488AP1_0019_matching_graph,34,15
58_654AP1_0019_matching_graph,34,15
59_703AP1_0019_matching_graph,34,15
60_774AP1_0019_matching_graph,34,15
61_595AP1_0019_matching_graph,34,15
62_751AP1_0019_matching_graph,34,15
63_778AP1_0019_matching_graph,34,15
64_823AP1_0019_matching_graph,34,15
65_645AP1_0019_matching_graph,34,15
66_664AP1_0019_matching_graph,34,15
18_162AP1_0032_matching_graph,37,12
19_191AP1_0032_matching_graph,37,12
20_259AP1_0032_matching_graph,37,12
22_507AP1_0032_matching_graph,37,12
24_467AP1_0032_matching_graph,37,12
26_529AP1_0032_matching_graph,37,12
28_655AP1_0032_matching_graph,37,12
30_673AP1_0032_matching_graph,37,12
32_768AP1_0032_matching_graph,37,12
34_860AP1_0032_matching_graph,37,12
36_1012AP1_0032_matching_graph,37,12
38_1058AP1_0032_matching_graph,37,12
40_988AP1_0032_matching_graph,37,12
42_1125AP1_0032_matching_graph,37,12
44_1111AP1_0032_matching_graph,37,12
46_1124AP1_0032_matching_graph,37,12
48_1137AP1_0032_matching_graph,37,12
0_54AP1_0037_matching_graph,41,19
10_1057AP1_0037_matching_graph,41,19
11_1152AP1_0037_matching_graph,41,19
12_1083AP1_0037_matching_graph,41,19
13_1129AP1_0037_matching_graph,41,19
14_1139AP1_0037_matching_graph,41,19
15_1146AP1_0037_matching_graph,41,19
16_1155AP1_0037_matching_graph,41,19
17_1166AP1_0037_matching_graph,41,19
1_719AP1_0037_matching_graph,41,19
2_660AP1_0037_matching_graph,41,19
3_331AP1_0037_matching_graph,41,19
4_520AP1_0037_matching_graph,41,19
5_558AP1_0037_matching_graph,41,19
6_751AP1_0037_matching_graph,41,19
7_860AP1_0037_matching_graph,41,19
8_923AP1_0037_matching_graph,41,19
9_956AP1_0037_matching_graph,41,19
76_110AP1_0039_matching_graph,34,19
77_86AP1_0039_matching_graph,34,19
78_706AP1_0039_matching_graph,34,19
79_354AP1_0039_matching_graph,34,19
67_185AP1_0043_matching_graph,32,5
68_893AP1_0043_matching_graph,32,5
69_645AP1_0043_matching_graph,32,5
70_919AP1_0043_matching_graph,32,5
71_1095AP1_0043_matching_graph,32,5
72_1138AP1_0043_matching_graph,32,5
73_1205AP1_0043_matching_graph,32,5
74_1204AP1_0043_matching_graph,32,5
75_1210AP1_0043_matching_graph,32,5
