,A,E,F,H,I,K,L,M,N,T,V,W,X,Y,Z
AP1_0000,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AP1_0001,80,0,0,0,0,0,57,0,0,0,0,0,0,0,0
AP1_0002,0,0,0,0,80,0,0,0,0,0,39,0,0,0,0
AP1_0003,80,0,0,0,80,0,0,0,0,0,0,0,0,0,0
AP1_0004,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AP1_0005,80,0,0,0,80,0,80,0,0,0,0,0,0,0,0
AP1_0006,35,0,0,0,57,0,0,0,0,0,0,0,0,0,0
AP1_0007,80,0,0,0,80,0,0,0,0,0,0,0,0,0,0
AP1_0008,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AP1_0009,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AP1_0010,50,0,0,0,57,0,0,0,0,0,0,0,0,0,0
AP1_0011,65,0,0,0,80,0,0,0,0,0,0,0,0,0,0
AP1_0012,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0
AP1_0013,71,0,0,0,80,0,0,0,0,0,0,0,0,0,0
AP1_0014,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AP1_0015,0,0,0,0,80,0,0,0,0,0,49,0,0,0,0
AP1_0016,15,0,0,0,0,0,8,0,0,0,0,0,0,0,0
AP1_0017,80,0,0,0,80,0,0,0,0,0,0,0,0,0,0
AP1_0018,56,0,0,0,80,0,8,0,0,0,0,0,0,0,0
AP1_0019,80,0,0,0,80,0,0,0,0,0,0,0,0,0,0
AP1_0020,61,0,0,0,80,21,0,0,0,0,0,0,0,0,0
AP1_0021,80,0,0,0,80,0,80,0,0,0,0,0,0,0,0
AP1_0022,71,0,0,0,0,0,8,0,0,0,0,0,0,0,0
AP1_0023,80,0,0,0,80,0,0,0,0,0,0,0,0,0,0
AP1_0024,37,0,0,0,23,0,0,0,0,0,0,0,0,0,0
AP1_0025,54,0,0,0,80,0,0,0,0,0,0,0,0,0,0
AP1_0026,21,0,0,0,80,0,0,0,0,0,0,0,0,0,0
AP1_0027,38,0,0,0,80,0,0,0,0,0,39,0,0,0,0
AP1_0028,76,0,0,0,80,0,0,0,0,0,0,0,0,0,0
AP1_0029,65,0,0,0,67,0,0,0,0,0,0,0,0,0,0
AP1_0030,63,0,0,0,13,0,0,0,0,0,0,0,0,0,0
AP1_0031,56,0,0,0,80,0,0,0,0,0,10,0,0,0,0
AP1_0032,80,0,0,0,80,36,23,0,0,0,0,0,0,0,0
AP1_0033,43,0,0,0,80,0,0,0,0,0,0,0,0,0,0
AP1_0034,76,0,0,0,80,0,23,0,0,0,0,0,0,0,0
AP1_0035,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AP1_0036,80,0,0,0,80,0,0,0,0,0,0,0,0,0,0
AP1_0037,80,0,0,0,36,0,0,0,0,0,0,0,0,0,0
AP1_0038,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AP1_0039,80,0,0,0,80,0,23,0,0,2,0,0,0,0,0
AP1_0040,80,0,0,0,57,0,0,0,0,0,0,0,0,0,0
AP1_0041,76,0,47,0,80,0,0,0,0,0,0,0,0,0,0
AP1_0042,59,0,0,0,57,0,0,0,0,0,0,0,0,0,0
AP1_0043,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AP1_0044,63,0,0,0,80,0,0,0,0,0,0,0,0,0,0
AP1_0045,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AP1_0046,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AP1_0047,59,0,0,0,0,15,0,0,0,0,0,0,0,0,0
AP1_0048,22,0,0,13,44,0,80,0,0,0,0,0,0,0,0
AP1_0049,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0
EP1_0000,0,66,58,0,80,0,8,0,0,36,0,0,0,0,0
EP1_0001,0,58,47,0,0,0,8,0,0,0,0,0,0,0,0
EP1_0002,0,80,80,0,44,0,8,0,0,64,0,0,0,0,0
EP1_0003,0,80,80,0,80,0,8,0,0,2,0,0,0,0,0
EP1_0004,0,80,80,0,0,0,8,0,0,16,0,0,0,0,0
EP1_0005,37,58,55,0,80,80,80,0,0,0,0,0,0,0,0
EP1_0006,0,58,47,19,57,0,8,0,0,12,0,0,0,0,0
EP1_0007,37,80,80,0,80,0,8,0,0,12,80,0,80,0,66
EP1_0008,0,58,58,0,80,80,8,0,0,35,0,0,0,0,0
EP1_0009,0,80,80,0,0,80,8,0,0,0,0,0,0,0,0
EP1_0010,17,61,80,0,80,0,8,0,0,2,0,0,0,0,0
EP1_0011,0,0,0,0,0,0,8,0,0,0,10,0,0,0,0
EP1_0012,71,55,58,0,80,0,80,0,0,2,0,0,0,0,0
EP1_0013,0,39,80,22,80,0,64,0,0,0,80,0,0,0,11
EP1_0014,37,80,80,0,80,0,80,0,0,0,41,0,80,0,66
EP1_0015,0,80,80,0,80,0,8,0,0,0,0,0,0,0,0
EP1_0016,0,80,80,0,80,0,8,0,0,30,49,0,0,0,0
EP1_0017,0,80,80,0,80,0,8,0,0,30,80,0,0,0,14
EP1_0018,17,80,80,0,80,0,8,0,0,2,0,0,0,0,0
EP1_0019,0,55,58,0,0,0,8,0,0,0,0,0,0,0,0
EP1_0020,0,0,0,0,80,0,8,0,0,0,0,0,0,0,0
EP1_0021,0,36,80,0,0,0,0,0,0,0,0,0,0,0,0
EP1_0022,0,80,80,0,80,0,8,0,0,2,0,0,0,30,0
EP1_0023,0,33,43,0,0,0,8,0,0,0,0,0,0,0,46
EP1_0024,0,80,80,41,57,0,8,0,0,64,0,0,0,0,0
EP1_0025,0,80,80,58,80,0,8,0,0,2,0,0,0,0,0
EP1_0026,80,0,25,0,80,0,80,0,0,2,0,0,0,0,0
EP1_0027,0,66,80,0,80,23,8,0,0,0,0,0,0,0,0
EP1_0028,0,61,80,0,0,0,8,0,0,0,80,0,21,0,57
EP1_0029,0,80,80,0,0,80,8,0,0,0,0,0,0,0,0
EP1_0030,0,61,65,19,57,0,8,0,0,0,0,0,0,0,0
EP1_0031,37,80,80,0,80,0,80,0,0,0,80,0,69,0,50
EP1_0032,37,61,43,0,0,0,64,0,0,0,0,0,0,0,0
EP1_0033,0,80,58,0,0,0,8,0,0,0,0,0,0,0,0
EP1_0034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EP1_0035,0,80,80,0,23,0,8,0,0,16,41,0,0,0,57
EP1_0036,0,39,62,0,0,0,8,0,0,0,0,0,0,0,0
EP1_0037,0,80,80,80,80,0,8,0,0,24,0,0,0,0,0
EP1_0038,0,80,80,54,36,0,8,0,0,0,0,0,0,0,0
EP1_0039,0,80,25,0,80,0,8,0,0,2,41,0,0,0,14
EP1_0040,0,80,80,0,0,76,8,0,0,16,0,0,0,0,0
EP1_0041,0,80,80,0,80,0,8,0,0,0,0,0,0,0,0
EP1_0042,0,66,80,0,0,0,8,0,0,2,0,0,0,0,0
EP1_0043,0,33,58,80,80,80,8,0,0,0,0,0,0,0,0
EP1_0044,80,80,80,0,80,0,80,0,0,2,80,0,0,0,0
EP1_0045,0,66,55,0,0,0,80,0,0,14,0,0,0,0,0
EP1_0046,0,22,33,0,44,0,8,0,0,0,0,0,0,0,0
EP1_0047,0,80,80,0,80,0,8,0,0,0,0,0,0,0,0
EP1_0048,0,80,80,0,0,0,8,0,0,2,0,0,0,0,0
EP1_0049,33,61,65,0,0,0,8,0,0,0,0,0,0,0,0
FP1_0000,0,0,80,0,23,0,0,0,0,2,0,0,0,0,0
FP1_0001,0,0,80,0,80,0,0,0,0,22,80,0,0,0,0
FP1_0002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FP1_0003,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
FP1_0004,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0
FP1_0005,76,0,80,19,80,0,0,80,0,0,80,0,0,0,0
FP1_0006,0,0,25,0,80,4,0,0,0,0,10,0,0,0,0
FP1_0007,0,0,80,0,80,0,0,0,0,0,0,0,0,0,0
FP1_0008,0,0,80,0,80,0,0,0,0,14,49,0,0,0,0
FP1_0009,0,80,80,0,0,0,8,0,0,0,0,0,0,0,0
FP1_0010,0,0,80,0,13,0,0,0,0,0,80,0,0,0,0
FP1_0011,0,0,80,0,0,0,0,0,0,0,39,0,0,0,0
FP1_0012,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0
FP1_0013,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0
FP1_0014,0,0,65,0,23,0,0,0,0,0,0,0,0,0,0
FP1_0015,0,25,58,0,44,0,0,0,0,0,0,0,0,0,0
FP1_0016,0,0,80,0,23,0,0,0,0,0,0,0,0,0,0
FP1_0017,0,0,40,0,0,0,0,0,0,16,0,0,0,0,0
FP1_0018,0,0,80,0,80,0,0,0,0,0,0,0,0,0,0
FP1_0019,0,0,58,0,23,0,0,0,0,24,0,0,0,0,0
FP1_0020,0,0,80,0,80,0,0,0,0,0,0,0,0,0,0
FP1_0021,0,0,80,0,23,0,0,0,0,38,0,0,0,0,0
FP1_0022,0,0,33,0,80,0,0,0,0,0,0,0,0,0,0
FP1_0023,0,0,55,0,0,0,0,0,0,2,0,0,0,0,0
FP1_0024,0,0,80,0,80,0,0,0,0,0,49,0,0,80,0
FP1_0025,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0
FP1_0026,0,0,80,0,23,0,0,0,0,0,0,0,0,0,0
FP1_0027,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0
FP1_0028,0,0,0,0,80,0,0,0,0,2,80,0,0,0,0
FP1_0029,0,0,0,0,0,0,0,0,0,14,0,0,0,80,0
FP1_0030,0,0,80,0,0,0,0,0,0,0,41,0,0,0,0
